,GEO.id_x,GEO.id2,GEO.display-label_x,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,zip,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402,city,state,latitude,longitude,timezone,dst,GEO.id_y,GEO.display-label_y,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
50,0400000US25,25,Massachusetts,8710000US2502090,2502090,Massachusetts - ZCTA 02090,02090,14636,5438,11.18,0.29,10.89,1343.5,499.2,Westwood,MA,42.212949,-71.20735,-5,1,8610000US02090,"ZIP 02090 (Westwood, MA)",00,Total for all sectors,2012,430,10336.0,230078,739749
51,0400000US25,25,Massachusetts,8710000US2502108,2502108,Massachusetts - ZCTA 02108,02108,3825,2278,0.14,0.00,0.14,27919.1,16627.4,Boston,MA,42.357903,-71.06408,-5,1,8610000US02108,"ZIP 02108 (Boston, MA)",00,Total for all sectors,2012,1126,26072.0,552349,1758118
52,0400000US25,25,Massachusetts,8710000US2502109,2502109,Massachusetts - ZCTA 02109,02109,3771,2462,0.29,0.11,0.17,21720.8,14181.0,Boston,MA,42.361477,-71.05417,-5,1,8610000US02109,"ZIP 02109 (Boston, MA)",00,Total for all sectors,2012,1297,62166.0,2089640,7528809
53,0400000US25,25,Massachusetts,8710000US2502110,2502110,Massachusetts - ZCTA 02110,02110,1733,1264,0.28,0.09,0.19,9355.4,6823.6,Boston,MA,42.356532,-71.05365,-5,1,8610000US02110,"ZIP 02110 (Boston, MA)",00,Total for all sectors,2012,1712,47279.0,1806908,5981867
54,0400000US25,25,Massachusetts,8710000US2502111,2502111,Massachusetts - ZCTA 02111,02111,7383,3628,0.28,0.02,0.26,28541.5,14025.3,Boston,MA,42.349838,-71.06101,-5,1,8610000US02111,"ZIP 02111 (Boston, MA)",00,Total for all sectors,2012,884,33337.0,779033,2510152
55,0400000US25,25,Massachusetts,8710000US2502113,2502113,Massachusetts - ZCTA 02113,02113,6915,4682,0.10,0.00,0.10,68664.8,46491.5,Boston,MA,42.365028,-71.05636,-5,1,8610000US02113,"ZIP 02113 (Boston, MA)",00,Total for all sectors,2012,184,1978.0,15875,71462
56,0400000US25,25,Massachusetts,8710000US2502114,2502114,Massachusetts - ZCTA 02114,02114,11999,7672,0.57,0.12,0.45,26693.9,17067.7,Boston,MA,42.361792,-71.06774,-5,1,8610000US02114,"ZIP 02114 (Boston, MA)",00,Total for all sectors,2012,654,39444.0,716036,2880491
57,0400000US25,25,Massachusetts,8710000US2502115,2502115,Massachusetts - ZCTA 02115,02115,28441,10838,0.75,0.04,0.71,40159.2,15303.4,Boston,MA,42.34308,-71.09268,-5,1,8610000US02115,"ZIP 02115 (Boston, MA)",00,Total for all sectors,2012,600,56939.0,778220,3165317
58,0400000US25,25,Massachusetts,8710000US2502116,2502116,Massachusetts - ZCTA 02116,02116,20628,12644,0.73,0.10,0.63,32724.1,20058.3,Boston,MA,42.349622,-71.07372,-5,1,8610000US02116,"ZIP 02116 (Boston, MA)",00,Total for all sectors,2012,1960,50605.0,1327190,4523494
59,0400000US25,25,Massachusetts,8710000US2502118,2502118,Massachusetts - ZCTA 02118,02118,26498,12967,1.11,0.01,1.10,24074.6,11781.1,Boston,MA,42.338724,-71.07276,-5,1,8610000US02118,"ZIP 02118 (Boston, MA)",00,Total for all sectors,2012,750,16117.0,211027,870863
60,0400000US25,25,Massachusetts,8710000US2502119,2502119,Massachusetts - ZCTA 02119,02119,25346,11048,1.60,0.00,1.60,15871.3,6918.1,Boston,MA,42.324511,-71.08455,-5,1,8610000US02119,"ZIP 02119 (Roxbury, MA)",00,Total for all sectors,2012,404,6625.0,84956,341176
