,latitude,longitude,nrides
236,42.2928282828,-71.1136363636,-18.4828928623
237,42.2928282828,-71.1115151515,-18.4929977985
238,42.2928282828,-71.1093939394,-18.5080940594
239,42.2928282828,-71.1072727273,-18.5279525665
240,42.2928282828,-71.1051515152,-18.5310135141
241,42.2928282828,-71.103030303,-18.5393232954
242,42.2928282828,-71.1009090909,-18.5526845595
243,42.2928282828,-71.0987878788,-18.5707232654
244,42.2928282828,-71.0966666667,-18.5930348076
245,42.2928282828,-71.0945454545,-18.6193253803
246,42.2928282828,-71.0924242424,-18.6486300619
247,42.2928282828,-71.0903030303,-18.680189835
248,42.2928282828,-71.0881818182,-18.7120607496
249,42.2928282828,-71.0860606061,-18.7452783611
250,42.2928282828,-71.0839393939,-18.7743128773
251,42.2928282828,-71.0818181818,-18.8012912786
252,42.2928282828,-71.0796969697,-18.8123646869
253,42.2928282828,-71.0775757576,-18.7853979899
254,42.2928282828,-71.0754545455,-18.7622736144
255,42.2928282828,-71.0733333333,-18.7438783251
256,42.2928282828,-71.0712121212,-18.7306496799
257,42.2928282828,-71.0690909091,-18.7228685108
258,42.2928282828,-71.066969697,-18.7205639585
259,42.2928282828,-71.0648484848,-18.7235578019
260,42.2928282828,-71.0627272727,-18.7314605397
261,42.2928282828,-71.0606060606,-18.7437077528
262,42.2928282828,-71.0584848485,-18.7597146125
263,42.2928282828,-71.0563636364,-18.7504119355
264,42.2928282828,-71.0542424242,-18.722006887
265,42.2928282828,-71.0521212121,-18.6944728964
266,42.2928282828,-71.05,-18.6702069547
267,42.2928282828,-71.0478787879,-18.6482287156
268,42.2928282828,-71.0457575758,-18.6299587404
269,42.2928282828,-71.0436363636,-18.6154915
270,42.2928282828,-71.0415151515,-18.60490663
271,42.2928282828,-71.0393939394,-18.5983603062
272,42.2928282828,-71.0372727273,-18.5958780141
273,42.2928282828,-71.0351515152,-18.5975815049
274,42.2928282828,-71.033030303,-18.6037013064
275,42.2928282828,-71.0309090909,-18.6144400679
276,42.2928282828,-71.0287878788,-18.6301640967
277,42.2928282828,-71.0266666667,-18.6508088719
278,42.2928282828,-71.0245454545,-18.676376741
279,42.2928282828,-71.0224242424,-18.706679808
280,42.2928282828,-71.0203030303,-18.7406135218
281,42.2928282828,-71.0181818182,-18.7777725216
282,42.2928282828,-71.0160606061,-18.8182584246
