GEO.id,zip,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01108,01108,"ZIP 01108 (Springfield, MA)",00,Total for all sectors,2012,262,2353,15448,64377
8610000US01109,01109,"ZIP 01109 (Springfield, MA)",00,Total for all sectors,2012,301,7690,52927,213191
8610000US01111,01111,"ZIP 01111 (Springfield, MA)",00,Total for all sectors,2012,8,h,D,D
8610000US01115,01115,"ZIP 01115 (Springfield, MA)",00,Total for all sectors,2012,52,909,36283,101999
8610000US01116,01116,"ZIP 01116 (Longmeadow, MA)",00,Total for all sectors,2012,2,a,D,D
8610000US01118,01118,"ZIP 01118 (Springfield, MA)",00,Total for all sectors,2012,140,1538,12004,50078
8610000US01119,01119,"ZIP 01119 (Springfield, MA)",00,Total for all sectors,2012,147,3617,22210,93165
8610000US01128,01128,"ZIP 01128 (Springfield, MA)",00,Total for all sectors,2012,48,825,3738,14960
8610000US01129,01129,"ZIP 01129 (Springfield, MA)",00,Total for all sectors,2012,173,2756,14974,60141
8610000US01138,01138,"ZIP 01138 (Springfield, MA)",00,Total for all sectors,2012,8,25,85,734
8610000US01139,01139,"ZIP 01139 (Springfield, MA)",00,Total for all sectors,2012,3,c,D,D
8610000US01144,01144,"ZIP 01144 (Springfield, MA)",00,Total for all sectors,2012,46,1140,34839,103868
8610000US01151,01151,"ZIP 01151 (Indian Orchard, MA)",00,Total for all sectors,2012,146,2341,40146,175911
8610000US01199,01199,"ZIP 01199 (Springfield, MA)",00,Total for all sectors,2012,2,i,D,D
8610000US01201,01201,"ZIP 01201 (Pittsfield, MA)",00,Total for all sectors,2012,1299,22445,260554,1016676
8610000US01202,01202,"ZIP 01202 (Pittsfield, MA)",00,Total for all sectors,2012,31,688,8581,39414
8610000US01203,01203,"ZIP 01203 (Pittsfield, MA)",00,Total for all sectors,2012,1,a,D,D
8610000US01220,01220,"ZIP 01220 (Adams, MA)",00,Total for all sectors,2012,167,1685,14026,57876
8610000US01222,01222,"ZIP 01222 (Ashley Falls, MA)",00,Total for all sectors,2012,12,40,270,1293
8610000US01223,01223,"ZIP 01223 (Becket, MA)",00,Total for all sectors,2012,48,267,2000,12239
8610000US01224,01224,"ZIP 01224 (Berkshire, MA)",00,Total for all sectors,2012,4,22,175,761
8610000US01225,01225,"ZIP 01225 (Cheshire, MA)",00,Total for all sectors,2012,55,365,3054,13507
8610000US01226,01226,"ZIP 01226 (Dalton, MA)",00,Total for all sectors,2012,124,1754,22644,82338
8610000US01227,01227,"ZIP 01227 (Dalton, MA)",00,Total for all sectors,2012,5,44,328,1932
8610000US01229,01229,"ZIP 01229 (Glendale, MA)",00,Total for all sectors,2012,3,a,S,785
8610000US01230,01230,"ZIP 01230 (Great Barrington, MA)",00,Total for all sectors,2012,423,5092,39251,168571
