Unnamed: 0,latitude,longitude,nrides
163,42.2914141414,-71.0563636364,-16.9342277718
164,42.2914141414,-71.0542424242,-16.6773604299
165,42.2914141414,-71.0521212121,-16.1207127731
166,42.2914141414,-71.05,-15.3997878355
167,42.2914141414,-71.0478787879,-14.6343371995
168,42.2914141414,-71.0457575758,-13.9257821055
169,42.2914141414,-71.0436363636,-13.3676163745
170,42.2914141414,-71.0415151515,-13.0165001768
171,42.2914141414,-71.0393939394,-12.9106740159
172,42.2914141414,-71.0372727273,-13.0690392615
173,42.2914141414,-71.0351515152,-13.4781397502
174,42.2914141414,-71.033030303,-14.0847436874
175,42.2914141414,-71.0309090909,-14.8072120511
176,42.2914141414,-71.0287878788,-15.5787805717
177,42.2914141414,-71.0266666667,-16.324702134
178,42.2914141414,-71.0245454545,-16.9733739201
179,42.2914141414,-71.0224242424,-17.4541518521
180,42.2914141414,-71.0203030303,-17.752220369
181,42.2914141414,-71.0181818182,-17.8769007837
182,42.2914141414,-71.0160606061,-17.8441332668
183,42.2914141414,-71.0139393939,-17.7212850941
184,42.2914141414,-71.0118181818,-17.5775662698
185,42.2914141414,-71.0096969697,-17.4550016054
186,42.2914141414,-71.0075757576,-17.3492740619
187,42.2914141414,-71.0054545455,-17.2977870282
188,42.2914141414,-71.0033333333,-17.299260736
189,42.2914141414,-71.0012121212,-17.3568254557
190,42.2914141414,-70.9990909091,-17.4673361442
191,42.2914141414,-70.996969697,-17.5985872798
192,42.2914141414,-70.9948484848,-17.748401214
193,42.2914141414,-70.9927272727,-17.9068996547
194,42.2914141414,-70.9906060606,-18.0709841497
195,42.2914141414,-70.9884848485,-18.2330775163
196,42.2914141414,-70.9863636364,-18.3800564122
197,42.2914141414,-70.9842424242,-18.5233679223
198,42.2914141414,-70.9821212121,-18.6578621288
199,42.2914141414,-70.98,-18.7926392841
200,42.2928282828,-71.19,-18.0106889089
201,42.2928282828,-71.1878787879,-17.8429360791
202,42.2928282828,-71.1857575758,-17.689764398
203,42.2928282828,-71.1836363636,-17.5400112348
204,42.2928282828,-71.1815151515,-17.4100609186
205,42.2928282828,-71.1793939394,-17.3030562739
206,42.2928282828,-71.1772727273,-17.2243307317
207,42.2928282828,-71.1751515152,-17.1763321981
208,42.2928282828,-71.173030303,-17.1516797507
209,42.2928282828,-71.1709090909,-17.1279405826
210,42.2928282828,-71.1687878788,-17.1088065314
211,42.2928282828,-71.1666666667,-17.0850707878
212,42.2928282828,-71.1645454545,-17.0387636447
213,42.2928282828,-71.1624242424,-16.9343391498
214,42.2928282828,-71.1603030303,-16.7797422906
215,42.2928282828,-71.1581818182,-16.5845566015
216,42.2928282828,-71.1560606061,-16.3430564108
217,42.2928282828,-71.1539393939,-16.0740470641
218,42.2928282828,-71.1518181818,-15.8203180752
219,42.2928282828,-71.1496969697,-15.6346719299
220,42.2928282828,-71.1475757576,-15.5414230862
221,42.2928282828,-71.1454545455,-15.5704687287
222,42.2928282828,-71.1433333333,-15.7054676711
223,42.2928282828,-71.1412121212,-15.9379239962
224,42.2928282828,-71.1390909091,-16.2230344475
225,42.2928282828,-71.136969697,-16.4628703832
226,42.2928282828,-71.1348484848,-16.5751675044
227,42.2928282828,-71.1327272727,-16.4872096652
228,42.2928282828,-71.1306060606,-16.1510735756
229,42.2928282828,-71.1284848485,-15.5525815803
230,42.2928282828,-71.1263636364,-14.7164973625
231,42.2928282828,-71.1242424242,-13.6826616843
232,42.2928282828,-71.1221212121,-12.472653143
233,42.2928282828,-71.12,-11.1436759591
