Municipality,Terminal,Station,Latitude,Longitude,Nb of prefixed docks,Installed,Install date
Somerville,S32002,Union Square - Somerville,42.379637,-71.095319,19,Yes,3/20/14 9:00
Somerville,S32003,Beacon St at Washington / Kirkland,42.37842,-71.105668,15,Yes,3/21/14 10:00
Somerville,S32004,Conway Park - Somerville Avenue,42.383405,-71.107593,15,Yes,3/21/14 13:00
Somerville,S32005,Wilson Square,42.385582,-71.113341,15,Yes,3/21/14 9:00
Somerville,S32006,Davis Square,42.396969,-71.123024,25,Yes,3/20/14 11:00
Somerville,S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,15,Yes,3/20/14 12:00
Somerville,S32009,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,15,Yes,3/20/14 13:55
Somerville,S32010,Somerville Hospital at Highland Ave / Crocker St,42.39082,-71.10942,15,Yes,3/20/14 13:53
Somerville,S32011,Teele Square at 239 Holland St,42.402763,-71.126908,15,Yes,3/21/14 13:56
Somerville,S32012,Summer St at Cutter St,42.394002,-71.120406,15,Yes,4/25/14 13:36
Somerville,S32013,Magoun Square at Trum Field,42.398365,-71.107818,15,Yes,3/21/14 12:48
