id,lat,lng,municipal,station,status,terminal
127.0,42.346563,-71.128374,Brookline,JFK Crossing at Harvard St. / Thorndike St.,Existing,K32004
128.0,42.362457,-71.08497,Cambridge,Kendall T at Main St,Existing,M32004
129.0,42.369832,-71.118201,Cambridge,Harvard University River Houses / Plympton St at Memorial Drive,Existing,M32015
130.0,42.376369,-71.114025,Cambridge,Harvard University Gund Hall at Quincy St / Kirkland S,Existing,M32021
131.0,42.356954,-71.113687,Cambridge,Lower Cambridgeport at Magazine St/Riverside Rd,Existing,M32022
132.0,42.377945,-71.116865,Cambridge,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Existing,M32023
133.0,42.380287,-71.125107,Cambridge,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Existing,M32024
134.0,42.397828,-71.130516,Cambridge,Mass Ave / Linear Park,Existing,M32025
135.0,42.370803,-71.104412,Cambridge,359 Broadway - Broadway at Fayette Street,Existing,M32026
136.0,42.366095,-71.086388,Cambridge,Biogen Idec - Binney St / Sixth St,Existing,M32027
137.0,42.387995,-71.119084,Cambridge,Porter Square Station,Existing,M32029
138.0,42.385582,-71.113341,Somerville,Wilson Square,Existing,S32005
139.0,42.396969,-71.123024,Somerville,Davis Square,Existing,S32006
140.0,42.400146,-71.112708,Somerville,Ball Square,Existing,S32007
141.0,42.400877,-71.116772,Somerville,Powder House Circle,Existing,S32008
142.0,42.40449,-71.123413,Somerville,Packard Ave / Powderhouse Blvd,Existing,S32009
143.0,42.39082,-71.10942,Somerville,Somerville Hospital at Highland Ave / Crocker St,Existing,S32010
144.0,42.402763,-71.126908,Somerville,Teele Square at 239 Holland St,Existing,S32011
145.0,42.394002,-71.120406,Somerville,Summer St at Cutter St,Existing,S32012
,42.3564646465,-71.0818181818,,,proposed,
,42.3621212121,-71.0775757576,,,proposed,
