,nodeid,latitude,longitude
232,1039671912,42.3552924,-71.0776743
233,1040309674,42.3549230,-71.0790668
234,1039717813,42.3546529,-71.0800960
235,1727247438,42.3544795,-71.0805470
236,1727247437,42.3543387,-71.0810373
237,1039795021,42.3542592,-71.0813598
238,1040173182,42.3541926,-71.0813521
239,1727247436,42.3541006,-71.0813736
240,1727247435,42.3540422,-71.0814124
241,1727247434,42.3539894,-71.0814592
242,1727247433,42.3539389,-71.0815284
243,1039585761,42.3539159,-71.0815872
244,1040353770,42.3532639,-71.0840104
245,1727247427,42.3532554,-71.0840828
246,1727247428,42.3532571,-71.0841499
247,1727247429,42.3532680,-71.0842199
248,1727247430,42.3532875,-71.0842853
249,1727247431,42.3533158,-71.0843547
250,1727247432,42.3533645,-71.0844248
251,1040111908,42.3534171,-71.0844717
252,1039986054,42.3532244,-71.0851842
253,1040426283,42.3531938,-71.0854783
254,2086567105,42.3524383,-71.0883167
255,1040006583,42.3523347,-71.0887148
256,2498705998,42.3522077,-71.0896792
257,2498705996,42.3521991,-71.0897251
258,2498706000,42.3521862,-71.0897541
259,2498706003,42.3521697,-71.0897710
260,2498706005,42.3521557,-71.0898421
261,2498703941,42.3521647,-71.0898590
262,2498705997,42.3521673,-71.0898858
263,2498706002,42.3521620,-71.0899602
264,2498703953,42.3521005,-71.0902371
265,2498703957,42.3520879,-71.0903019
266,1039762605,42.3520573,-71.0905329
267,2498703952,42.3520536,-71.0905950
268,2498703938,42.3520339,-71.0908640
269,2498706001,42.3520331,-71.0909632
270,2498703936,42.3520302,-71.0910985
271,1727276749,42.3520181,-71.0912777
272,2498705999,42.3520053,-71.0914348
273,1727276748,42.3519889,-71.0915756
274,2498703943,42.3519773,-71.0916541
275,2498706004,42.3519540,-71.0917486
276,1040590007,42.3519485,-71.0917911
277,2498703937,42.3519399,-71.0919222
278,1040165011,42.3519281,-71.0920264
279,1727276747,42.3518947,-71.0921504
280,1040342505,42.3518537,-71.0921967
281,327284086,42.3517988,-71.0921924
282,1627851170,42.3517442,-71.0923758
283,327295010,42.3515521,-71.0930053
284,1004995732,42.3515790,-71.0930342
285,1004995709,42.3516000,-71.0930865
286,255724524,42.3516018,-71.0931276
287,255724525,42.3515845,-71.0931851
288,1004995737,42.3515362,-71.0932908
289,255724526,42.3514738,-71.0934056
290,2498689772,42.3514400,-71.0934501
291,2498689769,42.3514168,-71.0934836
292,1040277820,42.3513597,-71.0936207
293,2498689771,42.3512247,-71.0939184
294,2498689773,42.3512115,-71.0939362
295,2498689779,42.3510597,-71.0942632
296,2498689781,42.3510512,-71.0942920
297,2498689776,42.3510492,-71.0943230
298,2498689770,42.3510533,-71.0943478
299,2498689775,42.3510628,-71.0943728
300,1040470885,42.3510633,-71.0943987
301,2498689777,42.3510579,-71.0944435
302,1039751277,42.3510510,-71.0945084
303,2498689763,42.3510494,-71.0945949
304,2498689765,42.3510558,-71.0946799
305,1040701964,42.3510680,-71.0947657
306,1039609050,42.3511296,-71.0949847
307,1727276745,42.3511515,-71.0951175
308,2498689766,42.3511581,-71.0952389
309,1040552296,42.3511599,-71.0953656
310,2498689767,42.3511554,-71.0955908
311,1040437592,42.3511416,-71.0958533
312,1040541006,42.3510453,-71.0965847
313,1040450261,42.3510328,-71.0969640
314,1040556983,42.3510193,-71.0971629
315,1727276744,42.3510906,-71.0981861
316,1040426300,42.3511030,-71.0982781
317,2086567104,42.3511509,-71.0984237
318,1040192001,42.3513428,-71.0988942
319,1727276746,42.3514654,-71.0993274
320,1040564603,42.3515273,-71.0995910
321,1040413802,42.3516595,-71.1003468
322,1040677072,42.3516577,-71.1005400
323,1040559162,42.3516919,-71.1009938
324,1040024833,42.3516508,-71.1014889
325,1040585582,42.3515314,-71.1024255
326,1040281000,42.3515237,-71.1026551
327,1040563259,42.3514648,-71.1030163
328,1040536269,42.3514351,-71.1033772
329,1040098986,42.3514451,-71.1041689
330,1040669870,42.3515046,-71.1050986
331,1040485934,42.3515649,-71.1056154
332,1040417444,42.3516135,-71.1061742
333,1040358807,42.3516202,-71.1064880
334,1040549138,42.3516654,-71.1068651
335,1039890837,42.3518928,-71.1077202
336,1040441838,42.3520600,-71.1085545
337,1040167934,42.3520842,-71.1089075
338,1039911201,42.3520665,-71.1096654
