,nodeid,latitude,longitude
67,329022022,42.3649073,-71.1162059
68,328813372,42.3651186,-71.1161917
69,328801225,42.3653804,-71.1161678
70,328827477,42.3655780,-71.1161620
71,328818934,42.3657202,-71.1161579
72,2688736285,42.3658925,-71.1161532
73,328845742,42.3660707,-71.1161394
74,2688736274,42.3661628,-71.1161549
75,328842213,42.3662955,-71.1161652
76,2688736265,42.3664483,-71.1161656
77,329038214,42.3665969,-71.1161892
78,329027852,42.3667179,-71.1162161
79,2688736262,42.3668449,-71.1162409
80,328817825,42.3669737,-71.1162831
81,328805886,42.3670783,-71.1163234
82,2688736293,42.3671798,-71.1163694
83,2688736289,42.3672677,-71.1164214
84,328832022,42.3673304,-71.1164656
85,328823961,42.3674317,-71.1165361
86,328850975,42.3675465,-71.1166112
87,329031914,42.3676945,-71.1167148
88,329021857,42.3678100,-71.1167890
89,1040208888,42.3679238,-71.1168716
90,1040611860,42.3675550,-71.1180801
91,2672254829,42.3674206,-71.1180077
92,2672254868,42.3673057,-71.1179567
93,2672254846,42.3672185,-71.1179138
94,2672254847,42.3671214,-71.1178763
95,2672254841,42.3670223,-71.1178333
96,2672254833,42.3669232,-71.1178038
97,2672254886,42.3668142,-71.1177717
98,2672254820,42.3667251,-71.1177421
99,2672254840,42.3666656,-71.1177180
100,2672254817,42.3666121,-71.1176778
101,2672254825,42.3665566,-71.1176590
102,2672254828,42.3665051,-71.1176510
103,2672254892,42.3664615,-71.1176563
104,2672254870,42.3663604,-71.1176402
105,2672254826,42.3662514,-71.1176295
106,2672254872,42.3661801,-71.1176161
107,2672254871,42.3661167,-71.1176268
108,2672254854,42.3660433,-71.1176322
109,2672254873,42.3659343,-71.1176268
110,2672254858,42.3656450,-71.1175651
111,2672254842,42.3655479,-71.1175490
112,2672254884,42.3654587,-71.1175437
113,2672254876,42.3653636,-71.1175624
114,2672254835,42.3652744,-71.1175651
115,2672254836,42.3652150,-71.1175624
116,2672254864,42.3651714,-71.1175490
117,2672254819,42.3651436,-71.1175276
118,2672254851,42.3651178,-71.1175142
119,2672254867,42.3650861,-71.1175142
120,2672254848,42.3650306,-71.1175329
121,2672254888,42.3649217,-71.1175624
122,2672254860,42.3647909,-71.1175866
123,2672254821,42.3646878,-71.1175946
124,2672254849,42.3645927,-71.1175893
125,2672254834,42.3645213,-71.1175785
126,2672254883,42.3644777,-71.1175517
127,2672254881,42.3644520,-71.1175034
128,2672254815,42.3644143,-71.1174766
129,2672254827,42.3643622,-71.1174617
130,2672254862,42.3642929,-71.1174524
131,2672254866,42.3642980,-71.1173940
132,2688508469,42.3642866,-71.1173694
133,2688508472,42.3641180,-71.1173512
134,2672254877,42.3641079,-71.1173679
135,2672254874,42.3641031,-71.1174361
136,2672254844,42.3640121,-71.1174417
137,2672254845,42.3638892,-71.1174632
138,2672254859,42.3638020,-71.1174900
139,2672254852,42.3636752,-71.1175463
140,2672254831,42.3636118,-71.1175705
141,2672254853,42.3635107,-71.1176107
142,2672254837,42.3634057,-71.1176349
143,2672254869,42.3633224,-71.1176268
144,2672254879,42.3631381,-71.1175866
145,2672254861,42.3630073,-71.1175705
146,2672254875,42.3628646,-71.1175651
147,2672254880,42.3627457,-71.1175517
148,2672254838,42.3626486,-71.1175276
149,2672254843,42.3625257,-71.1175034
150,2672254890,42.3624048,-71.1175034
151,2672254818,42.3622661,-71.1174927
152,2672254855,42.3621809,-71.1174632
153,2672254823,42.3620421,-71.1174417
154,2672254832,42.3618717,-71.1174149
155,2672254857,42.3617508,-71.1173935
156,2672254863,42.3615764,-71.1173693
157,2672254830,42.3614297,-71.1173425
158,2672254824,42.3613267,-71.1173157
159,2672254878,42.3612603,-71.1172804
160,2672254822,42.3611857,-71.1172196
161,2672254850,42.3611976,-71.1171767
162,2688508470,42.3611907,-71.1171472
163,2688508471,42.3610144,-71.1171256
164,2672254816,42.3609947,-71.1171424
165,2672254865,42.3609442,-71.1172997
166,2672254856,42.3609039,-71.1173598
167,2672254839,42.3601514,-71.1172379
168,2672381144,42.3600472,-71.1172198
169,2672382663,42.3599564,-71.1172086
170,2672381134,42.3598703,-71.1172045
171,2672381152,42.3597794,-71.1172070
172,2672381154,42.3596630,-71.1172110
173,2672381153,42.3595637,-71.1172153
174,2672381151,42.3594840,-71.1172227
175,2672381149,42.3594714,-71.1172000
176,2672381138,42.3594476,-71.1171860
177,2672381137,42.3592991,-71.1172137
178,2672381132,42.3591802,-71.1172459
179,2672381150,42.3590811,-71.1172754
180,2672381133,42.3589939,-71.1173183
181,2672381147,42.3589126,-71.1173532
182,2672381141,42.3587810,-71.1174060
183,2672381145,42.3586669,-71.1174524
184,2672381146,42.3585757,-71.1174980
185,2672381139,42.3584806,-71.1175409
186,2672381140,42.3583577,-71.1175946
187,2672381135,42.3582487,-71.1176375
