,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,originsubway,destpop,destwork,destsubway,ridesperday
83,87.0,480.0,5242.0,231.0,42.366621,-71.114214,28484.4406546,32196.0109177,3093.61151861,143805.953399,247880.60078,67759.5104295,22.6926406926
84,88.0,600.0,8233.0,240.0,42.374035,-71.101427,32031.2316651,27143.8308849,797.48284638,150627.366444,267671.292612,73703.7523899,34.3041666667
85,89.0,600.0,4232.0,232.0,42.379011,-71.119945,32519.3772266,37724.5098407,8891.952548,105411.547976,157613.897443,45756.7288222,18.2413793103
86,90.0,772.75,6790.0,234.0,42.3707,-71.07711,20529.7901243,33389.4727318,8550.60096076,234352.575573,455745.909836,107813.207909,29.0170940171
87,91.0,600.0,10533.0,238.0,42.366277,-71.09169,28273.0642193,40319.3645252,6088.44791679,211818.765087,411947.274015,99230.6629568,44.256302521
88,92.0,1500.0,616.0,176.0,42.311819,-71.035705,2364.71461039,700.290196333,4.58495484352,42746.1170084,43302.8894336,7730.78092073,3.5
89,93.0,1230.0,774.0,201.0,42.320494,-71.051122,26660.6226883,7960.15524708,8561.98045717,88478.7146258,110626.522169,19347.2202929,3.85074626866
90,94.0,840.0,4927.0,218.0,42.375603,-71.064608,20530.0305232,23193.1364302,1969.25957549,199966.177131,389198.03238,99944.468068,22.6009174312
91,95.0,570.0,5518.0,231.0,42.372969,-71.094445,29780.4611913,26561.6864585,381.771780805,170480.103408,311701.333916,81776.0599014,23.8874458874
92,96.0,600.0,5920.0,231.0,42.373379,-71.111075,26717.7099439,27337.3861993,6292.35457444,134457.29997,231413.012812,65549.2436618,25.6277056277
93,97.0,923.0,123.0,14.0,42.369182,-71.117152,24544.1449356,26984.7782725,9202.12328872,132443.198094,220412.296902,61069.152904,8.78571428571
94,98.0,780.0,8428.0,229.0,42.371848,-71.060292,19640.6382801,44847.1833737,1203.32353413,233707.374442,467351.2677,114632.248382,36.8034934498
95,99.0,600.0,9589.0,213.0,42.35892,-71.057629,25659.6659261,164436.142358,58694.7003755,321485.822925,635968.227064,131384.273563,45.0187793427
96,100.0,915.0,881.0,196.0,42.328654,-71.084198,36437.5469721,17216.7563949,4838.13207011,146082.552931,336122.868219,56637.8330344,4.49489795918
97,101.0,660.0,355.0,45.0,42.345733,-71.100694,52189.8839067,96735.1739529,9970.09506919,192440.55181,358256.236039,70716.0846366,7.88888888889
98,102.0,630.0,5837.0,185.0,42.336437,-71.073089,37529.7578067,39274.2496284,3609.00092615,213064.256431,436615.988408,71144.6886559,31.5513513514
99,103.0,660.0,11052.0,188.0,42.348762,-71.082383,39663.1282971,99944.3939057,24706.2111045,282337.814111,561916.994244,102918.505744,58.7872340426
100,104.0,765.0,1116.0,120.0,42.330716,-71.057044,23498.2164912,10414.8867297,6331.92448526,147422.739458,245680.058242,39617.9059882,9.3
101,105.0,870.0,471.0,162.0,42.325333,-71.075354,26803.7274352,9401.47848211,349.067265381,133302.13224,282846.895077,48063.0069597,2.90740740741
102,106.0,660.0,487.0,40.0,42.335693,-71.045859,33614.7991596,19319.0927142,169.691584575,143794.269981,215257.747259,35116.0209742,12.175
103,107.0,720.0,237.0,42.0,42.335741,-71.03877,25462.4221915,14158.4938372,6.51362908087,110900.019384,149085.047239,24317.3241683,5.64285714286
104,108.0,960.0,53.0,35.0,42.320561,-71.06198,30998.2049426,9188.79451227,1451.08604703,107242.469157,167964.449621,29895.5105356,1.51428571429
105,109.0,840.0,39.0,24.0,42.317225,-71.065421,30814.3925884,8488.43304072,161.406558789,102858.336753,160622.971742,30281.5521473,1.625
106,110.0,1080.0,1037.0,186.0,42.356975,-71.145442,23289.0053196,9338.91299144,117.529324059,91502.0308019,63348.911167,11197.3887717,5.5752688172
107,111.0,660.0,10690.0,215.0,42.366222,-71.059914,23609.8613842,102894.989412,12093.2872804,286815.312707,577416.767999,130737.530452,49.7209302326
108,112.0,480.0,9899.0,210.0,42.355402,-71.058087,25765.8442702,162105.72638,67143.9051924,326280.216506,638165.383644,125922.342038,47.1380952381
109,113.0,660.0,15506.0,211.0,42.36069,-71.070884,29036.0051699,111571.788509,17414.7090573,324086.598619,651728.956605,134399.004037,73.4881516588
