Unnamed: 0,destpop,destsubway,destwork,duration,lat,lng,ndays,nrides,originpop,originsubway,originwork,ridesperday,stationid
117.0,63370.4527585,32761.4115518,94779.1726833,870.0,42.31309,-71.114175,43.0,213.0,31763.7135846,1149.68461164,12321.2807231,4.95348837209,121.0
118.0,76699.1035909,34866.7355713,140816.922465,930.0,42.320998,-71.110833,43.0,320.0,13792.2984319,1447.93711144,5104.88932334,7.44186046512,122.0
119.0,81875.9073583,41091.8705636,166397.089105,900.0,42.315692,-71.098634,38.0,99.0,18829.5386555,2693.26627611,5746.87205837,2.60526315789,123.0
120.0,66461.6968507,36056.2886369,106701.028829,780.0,42.310579,-71.107341,32.0,201.0,32970.8715118,3895.7470536,12602.2296639,6.28125,124.0
121.0,96294.8567683,44115.5697199,216776.682117,735.0,42.322913,-71.100164,30.0,115.0,17844.3248718,7919.38328705,5801.36549426,3.83333333333,125.0
122.0,91895.4258028,10992.3827412,66670.6002559,900.0,42.339335,-71.13493,186.0,2477.0,15871.2508403,3147.34379951,4773.15621202,13.3172043011,126.0
123.0,114301.875322,22018.3123499,110091.127839,780.0,42.346563,-71.128374,167.0,2434.0,34583.0462329,4641.00036386,12076.0585213,14.5748502994,127.0
124.0,259877.424024,112922.421226,515094.858255,570.0,42.362457,-71.08497,201.0,14095.0,21473.942777,15126.9121537,48901.0072092,70.1243781095,128.0
125.0,128983.072434,58752.6816846,211688.073312,660.0,42.369832,-71.118201,197.0,2674.0,24118.8395497,12059.7526723,26572.2998949,13.5736040609,129.0
126.0,121602.019711,56792.9867193,197478.287942,510.0,42.376369,-71.114025,172.0,4178.0,25325.1291865,10818.2376375,25830.9291582,24.2906976744,130.0
127.0,157232.60089,63854.5641117,255751.885689,780.0,42.356954,-71.113687,207.0,5201.0,28997.7902699,1124.48124707,31682.0677633,25.1256038647,131.0
128.0,113031.306862,50880.1084687,175776.514775,600.0,42.377945,-71.116865,189.0,3887.0,27795.3614261,11455.713154,30422.3780114,20.5661375661,132.0
129.0,93603.5785651,38251.7253545,131615.290864,480.0,42.380287,-71.125107,208.0,3533.0,39885.8651391,2711.68569136,47840.7219306,16.9855769231,133.0
130.0,54723.4141371,18088.7678488,47072.4397526,210.0,42.397828,-71.130516,108.0,1398.0,30913.4234702,3389.06565942,11135.670082,12.9444444444,134.0
131.0,155285.584644,77854.3222868,284250.546277,480.0,42.370803,-71.104412,109.0,3261.0,34646.7410826,4970.57952523,37311.6215665,29.9174311927,135.0
132.0,234407.172467,106283.825024,459557.26542,600.0,42.366095,-71.086388,81.0,1696.0,23233.2230934,9881.6889775,39735.8130215,20.9382716049,136.0
133.0,85720.9485574,32805.5687529,105342.668913,600.0,42.387995,-71.119084,120.0,4279.0,29129.9914732,9710.04110766,21178.4983875,35.6583333333,137.0
134.0,98350.5635313,39505.6369222,131486.937372,720.0,42.385582,-71.113341,206.0,2608.0,23335.250813,3293.62296538,16064.3751055,12.6601941748,138.0
135.0,62994.4408317,21152.153032,57525.3935915,690.0,42.396969,-71.123024,212.0,5377.0,37528.0629425,12616.027718,12476.1010169,25.3632075472,139.0
136.0,63489.6259785,19597.8079055,53540.4555088,600.0,42.400146,-71.112708,197.0,1008.0,21953.9802224,1111.55157825,5297.79883101,5.11675126904,140.0
137.0,60381.7425114,18986.3420339,48863.1448318,720.0,42.400877,-71.116772,201.0,1216.0,27998.2017028,2983.69656587,6992.88775268,6.04975124378,141.0
138.0,51374.9239657,16103.5303226,35906.5430534,330.0,42.40449,-71.123413,101.0,883.0,25661.8411682,827.180710499,6383.86079766,8.74257425743,142.0
139.0,87524.5087891,31036.1541337,101341.192415,600.0,42.39082,-71.10942,100.0,757.0,21537.7928111,1087.83889456,7810.00463194,7.57,143.0
140.0,51334.6152407,16282.3069915,37779.1178633,180.0,42.402763,-71.126908,100.0,1319.0,27126.6838503,1437.39070999,7376.73456654,13.19,144.0
141.0,71060.1489997,24689.4441393,72347.9948135,795.0,42.394002,-71.120406,34.0,142.0,34518.9074301,12872.1638454,13744.6001333,4.17647058824,145.0
,3950966.56954,868610.223736,6162.06899442,,,,,,24879.6136756,1523810.72357,74771.9580484,28.8163604726,146.0
,3815875.99502,2222464.76455,9739.56661977,,,,,,23382.2079505,1327124.30574,71097.4399385,49.9612104521,147.0
