,Unnamed: 0,GEO.id,zip,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN,city,state,latitude,longitude,timezone,dst
32,32,8610000US01904,1904,"ZIP 01904 (Lynn, MA)",0,Total for all sectors,2012,269,2262.0,17772,75472,Lynn,MA,42.490421,-70.96579,-5,1
33,33,8610000US01905,1905,"ZIP 01905 (Lynn, MA)",0,Total for all sectors,2012,284,3760.0,37174,155019,Lynn,MA,42.464879,-70.97411,-5,1
34,34,8610000US01906,1906,"ZIP 01906 (Saugus, MA)",0,Total for all sectors,2012,760,9460.0,59610,248753,Saugus,MA,42.462796,-71.0098,-5,1
35,35,8610000US01907,1907,"ZIP 01907 (Swampscott, MA)",0,Total for all sectors,2012,311,2746.0,18773,83161,Swampscott,MA,42.474409,-70.90588,-5,1
36,36,8610000US01908,1908,"ZIP 01908 (Nahant, MA)",0,Total for all sectors,2012,52,365.0,2332,10336,Nahant,MA,42.427096,-70.92809,-5,1
37,37,8610000US01910,1910,"ZIP 01910 (Lynn, MA)",0,Total for all sectors,2012,10,,D,D,Lynn,MA,42.454796,-70.974694,-5,1
38,38,8610000US01915,1915,"ZIP 01915 (Beverly, MA)",0,Total for all sectors,2012,1235,20676.0,246256,996540,Beverly,MA,42.560995,-70.8757,-5,1
39,39,8610000US01923,1923,"ZIP 01923 (Danvers, MA)",0,Total for all sectors,2012,1098,27718.0,303864,1151996,Danvers,MA,42.569756,-70.94322,-5,1
40,40,8610000US01937,1937,"ZIP 01937 (Hathorne, MA)",0,Total for all sectors,2012,5,54.0,417,1683,Hathorne,MA,42.635443,-70.879123,-5,1
41,41,8610000US01940,1940,"ZIP 01940 (Lynnfield, MA)",0,Total for all sectors,2012,342,3517.0,45662,188228,Lynnfield,MA,42.527895,-71.02834,-5,1
42,42,8610000US01945,1945,"ZIP 01945 (Marblehead, MA)",0,Total for all sectors,2012,535,3660.0,30776,133540,Marblehead,MA,42.497146,-70.86323,-5,1
43,43,8610000US01949,1949,"ZIP 01949 (Middleton, MA)",0,Total for all sectors,2012,273,3258.0,37339,145117,Middleton,MA,42.602278,-71.01356,-5,1
44,44,8610000US01960,1960,"ZIP 01960 (Peabody, MA)",0,Total for all sectors,2012,1412,23378.0,252805,1047672,Peabody,MA,42.534045,-70.96146,-5,1
45,45,8610000US01961,1961,"ZIP 01961 (Peabody, MA)",0,Total for all sectors,2012,29,437.0,4844,21312,Peabody,MA,42.635443,-70.879123,-5,1
46,46,8610000US01965,1965,"ZIP 01965 (Prides Crossing, MA)",0,Total for all sectors,2012,12,,D,D,Prides Crossing,MA,42.558113,-70.825743,-5,1
47,47,8610000US01970,1970,"ZIP 01970 (Salem, MA)",0,Total for all sectors,2012,1125,16375.0,169006,715964,Salem,MA,42.516845,-70.8985,-5,1
48,48,8610000US01984,1984,"ZIP 01984 (Wenham, MA)",0,Total for all sectors,2012,86,1490.0,7346,32539,Wenham,MA,42.600518,-70.87618,-5,1
49,49,8610000US02018,2018,"ZIP 02018 (Accord, MA)",0,Total for all sectors,2012,5,67.0,1499,6651,Accord,MA,41.970474,-70.701357,-5,1
50,50,8610000US02021,2021,"ZIP 02021 (Canton, MA)",0,Total for all sectors,2012,892,21086.0,397202,1487410,Canton,MA,42.166776,-71.1343,-5,1
51,51,8610000US02025,2025,"ZIP 02025 (Cohasset, MA)",0,Total for all sectors,2012,260,2217.0,16681,72449,Cohasset,MA,42.241908,-70.81223,-5,1
52,52,8610000US02026,2026,"ZIP 02026 (Dedham, MA)",0,Total for all sectors,2012,868,15330.0,163755,660161,Dedham,MA,42.244609,-71.16553,-5,1
53,53,8610000US02027,2027,"ZIP 02027 (Dedham, MA)",0,Total for all sectors,2012,17,222.0,2196,9856,Dedham,MA,42.180048,-71.08923,-5,1
54,54,8610000US02030,2030,"ZIP 02030 (Dover, MA)",0,Total for all sectors,2012,112,369.0,4778,22577,Dover,MA,42.23888,-71.28241,-5,1
55,55,8610000US02032,2032,"ZIP 02032 (East Walpole, MA)",0,Total for all sectors,2012,115,1967.0,18878,77435,East Walpole,MA,42.153912,-71.21362,-5,1
56,56,8610000US02040,2040,"ZIP 02040 (Greenbush, MA)",0,Total for all sectors,2012,9,23.0,254,1221,Greenbush,MA,41.970474,-70.701357,-5,1
57,57,8610000US02043,2043,"ZIP 02043 (Hingham, MA)",0,Total for all sectors,2012,842,12051.0,148972,589026,Hingham,MA,42.225708,-70.88764,-5,1
58,58,8610000US02045,2045,"ZIP 02045 (Hull, MA)",0,Total for all sectors,2012,157,953.0,6116,27656,Hull,MA,42.286347,-70.87663,-5,1
59,59,8610000US02052,2052,"ZIP 02052 (Medfield, MA)",0,Total for all sectors,2012,309,2356.0,19530,83965,Medfield,MA,42.185571,-71.30476,-5,1
60,60,8610000US02060,2060,"ZIP 02060 (North Scituate, MA)",0,Total for all sectors,2012,12,222.0,3851,19273,North Scituate,MA,41.970474,-70.701357,-5,1
61,61,8610000US02061,2061,"ZIP 02061 (Norwell, MA)",0,Total for all sectors,2012,529,9618.0,134557,573676,Norwell,MA,42.15243,-70.8205,-5,1
62,62,8610000US02062,2062,"ZIP 02062 (Norwood, MA)",0,Total for all sectors,2012,1270,25163.0,381546,1457828,Norwood,MA,42.185974,-71.20166,-5,1
63,63,8610000US02066,2066,"ZIP 02066 (Scituate, MA)",0,Total for all sectors,2012,347,2327.0,16565,77653,Scituate,MA,42.205038,-70.7513,-5,1
64,64,8610000US02067,2067,"ZIP 02067 (Sharon, MA)",0,Total for all sectors,2012,386,2478.0,25028,112172,Sharon,MA,42.113749,-71.17923,-5,1
65,65,8610000US02072,2072,"ZIP 02072 (Stoughton, MA)",0,Total for all sectors,2012,867,11770.0,130494,535797,Stoughton,MA,42.125432,-71.10627,-5,1
66,66,8610000US02081,2081,"ZIP 02081 (Walpole, MA)",0,Total for all sectors,2012,585,6268.0,66694,274020,Walpole,MA,42.145237,-71.25375,-5,1
67,67,8610000US02090,2090,"ZIP 02090 (Westwood, MA)",0,Total for all sectors,2012,430,10336.0,230078,739749,Westwood,MA,42.212949,-71.20735,-5,1
68,68,8610000US02108,2108,"ZIP 02108 (Boston, MA)",0,Total for all sectors,2012,1126,26072.0,552349,1758118,Boston,MA,42.357903,-71.06408,-5,1
69,69,8610000US02109,2109,"ZIP 02109 (Boston, MA)",0,Total for all sectors,2012,1297,62166.0,2089640,7528809,Boston,MA,42.361477,-71.05417,-5,1
70,70,8610000US02110,2110,"ZIP 02110 (Boston, MA)",0,Total for all sectors,2012,1712,47279.0,1806908,5981867,Boston,MA,42.356532,-71.05365,-5,1
71,71,8610000US02111,2111,"ZIP 02111 (Boston, MA)",0,Total for all sectors,2012,884,33337.0,779033,2510152,Boston,MA,42.349838,-71.06101,-5,1
72,72,8610000US02112,2112,"ZIP 02112 (Boston, MA)",0,Total for all sectors,2012,7,633.0,1739,6021,Boston,MA,42.338947,-70.919635,-5,1
73,73,8610000US02113,2113,"ZIP 02113 (Boston, MA)",0,Total for all sectors,2012,184,1978.0,15875,71462,Boston,MA,42.365028,-71.05636,-5,1
74,74,8610000US02114,2114,"ZIP 02114 (Boston, MA)",0,Total for all sectors,2012,654,39444.0,716036,2880491,Boston,MA,42.361792,-71.06774,-5,1
75,75,8610000US02115,2115,"ZIP 02115 (Boston, MA)",0,Total for all sectors,2012,600,56939.0,778220,3165317,Boston,MA,42.34308,-71.09268,-5,1
76,76,8610000US02116,2116,"ZIP 02116 (Boston, MA)",0,Total for all sectors,2012,1960,50605.0,1327190,4523494,Boston,MA,42.349622,-71.07372,-5,1
77,77,8610000US02117,2117,"ZIP 02117 (Boston, MA)",0,Total for all sectors,2012,14,,D,D,Boston,MA,42.338947,-70.919635,-5,1
78,78,8610000US02118,2118,"ZIP 02118 (Boston, MA)",0,Total for all sectors,2012,750,16117.0,211027,870863,Boston,MA,42.338724,-71.07276,-5,1
79,79,8610000US02119,2119,"ZIP 02119 (Roxbury, MA)",0,Total for all sectors,2012,404,6625.0,84956,341176,Boston,MA,42.324511,-71.08455,-5,1
80,80,8610000US02120,2120,"ZIP 02120 (Roxbury Crossing, MA)",0,Total for all sectors,2012,155,3438.0,37554,157672,Boston,MA,42.332099,-71.09651,-5,1
81,81,8610000US02121,2121,"ZIP 02121 (Dorchester, MA)",0,Total for all sectors,2012,176,1771.0,12614,55993,Boston,MA,42.307448,-71.08127,-5,1
82,82,8610000US02122,2122,"ZIP 02122 (Dorchester, MA)",0,Total for all sectors,2012,458,6784.0,61232,261043,Boston,MA,42.296298,-71.05454,-5,1
83,83,8610000US02123,2123,"ZIP 02123 (Boston, MA)",0,Total for all sectors,2012,5,,D,D,Boston,MA,42.338947,-70.919635,-5,1
84,84,8610000US02124,2124,"ZIP 02124 (Dorchester Center, MA)",0,Total for all sectors,2012,543,5883.0,49847,200516,Boston,MA,42.28713,-71.07156,-5,1
85,85,8610000US02125,2125,"ZIP 02125 (Dorchester, MA)",0,Total for all sectors,2012,426,9858.0,127937,505789,Boston,MA,42.316852,-71.05811,-5,1
86,86,8610000US02126,2126,"ZIP 02126 (Mattapan, MA)",0,Total for all sectors,2012,210,1901.0,14532,58425,Mattapan,MA,42.272098,-71.09426,-5,1
87,87,8610000US02127,2127,"ZIP 02127 (Boston, MA)",0,Total for all sectors,2012,622,9636.0,138542,526606,Boston,MA,42.33499,-71.04562,-5,1
88,88,8610000US02128,2128,"ZIP 02128 (Boston, MA)",0,Total for all sectors,2012,698,21593.0,237992,936460,Boston,MA,42.378297,-71.0255,-5,1
89,89,8610000US02129,2129,"ZIP 02129 (Charlestown, MA)",0,Total for all sectors,2012,453,8548.0,122852,514364,Charlestown,MA,42.378619,-71.06495,-5,1
90,90,8610000US02130,2130,"ZIP 02130 (Jamaica Plain, MA)",0,Total for all sectors,2012,636,13818.0,306879,825408,Jamaica Plain,MA,42.309998,-71.11171,-5,1
91,91,8610000US02131,2131,"ZIP 02131 (Roslindale, MA)",0,Total for all sectors,2012,409,5403.0,47344,193886,Roslindale,MA,42.284678,-71.13052,-5,1
92,92,8610000US02132,2132,"ZIP 02132 (West Roxbury, MA)",0,Total for all sectors,2012,484,5947.0,53922,224599,West Roxbury,MA,42.279432,-71.1598,-5,1
93,93,8610000US02133,2133,"ZIP 02133 (Boston, MA)",0,Total for all sectors,2012,4,,124,511,Boston,MA,42.338947,-70.919635,-5,1
94,94,8610000US02134,2134,"ZIP 02134 (Allston, MA)",0,Total for all sectors,2012,535,9726.0,123205,498747,Allston,MA,42.355147,-71.13164,-5,1
95,95,8610000US02135,2135,"ZIP 02135 (Brighton, MA)",0,Total for all sectors,2012,720,16030.0,203647,794776,Brighton,MA,42.348418,-71.15349,-5,1
96,96,8610000US02136,2136,"ZIP 02136 (Hyde Park, MA)",0,Total for all sectors,2012,417,4070.0,40494,175193,Hyde Park,MA,42.252198,-71.12593,-5,1
97,97,8610000US02137,2137,"ZIP 02137 (Readville, MA)",0,Total for all sectors,2012,11,66.0,831,3673,Readville,MA,42.338947,-70.919635,-5,1
98,98,8610000US02138,2138,"ZIP 02138 (Cambridge, MA)",0,Total for all sectors,2012,1134,48061.0,600135,2599712,Cambridge,MA,42.379146,-71.12803,-5,1
99,99,8610000US02139,2139,"ZIP 02139 (Cambridge, MA)",0,Total for all sectors,2012,1039,45991.0,1065345,4352243,Cambridge,MA,42.364347,-71.10431,-5,1
100,100,8610000US02140,2140,"ZIP 02140 (Cambridge, MA)",0,Total for all sectors,2012,486,8214.0,175839,652143,Cambridge,MA,42.393327,-71.12837,-5,1
101,101,8610000US02141,2141,"ZIP 02141 (Cambridge, MA)",0,Total for all sectors,2012,473,8816.0,131466,532310,Cambridge,MA,42.370519,-71.08443,-5,1
102,102,8610000US02142,2142,"ZIP 02142 (Cambridge, MA)",0,Total for all sectors,2012,500,16418.0,528530,1827124,Cambridge,MA,42.362297,-71.08412,-5,1
103,103,8610000US02143,2143,"ZIP 02143 (Somerville, MA)",0,Total for all sectors,2012,582,9830.0,96546,401848,Somerville,MA,42.381929,-71.09908,-5,1
104,104,8610000US02144,2144,"ZIP 02144 (Somerville, MA)",0,Total for all sectors,2012,415,4389.0,47217,211230,Somerville,MA,42.399546,-71.12165,-5,1
105,105,8610000US02145,2145,"ZIP 02145 (Somerville, MA)",0,Total for all sectors,2012,327,3797.0,36519,157723,Somerville,MA,42.390846,-71.09225,-5,1
106,106,8610000US02148,2148,"ZIP 02148 (Malden, MA)",0,Total for all sectors,2012,937,12405.0,115539,458250,Malden,MA,42.428549,-71.06059,-5,1
107,107,8610000US02149,2149,"ZIP 02149 (Everett, MA)",0,Total for all sectors,2012,703,10763.0,132658,527538,Everett,MA,42.409916,-71.0522,-5,1
108,108,8610000US02150,2150,"ZIP 02150 (Chelsea, MA)",0,Total for all sectors,2012,658,12241.0,110132,473156,Chelsea,MA,42.396382,-71.03352,-5,1
109,109,8610000US02151,2151,"ZIP 02151 (Revere, MA)",0,Total for all sectors,2012,703,6862.0,47166,197854,Revere,MA,42.416247,-71.00525,-5,1
110,110,8610000US02152,2152,"ZIP 02152 (Winthrop, MA)",0,Total for all sectors,2012,253,1559.0,9936,45003,Winthrop,MA,42.373047,-70.97803,-5,1
111,111,8610000US02153,2153,"ZIP 02153 (Medford, MA)",0,Total for all sectors,2012,6,67.0,367,1637,Medford,MA,42.446396,-71.459405,-5,1
112,112,8610000US02155,2155,"ZIP 02155 (Medford, MA)",0,Total for all sectors,2012,1123,17296.0,210026,830557,Medford,MA,42.419846,-71.10942,-5,1
113,113,8610000US02156,2156,"ZIP 02156 (West Medford, MA)",0,Total for all sectors,2012,3,,D,D,West Medford,MA,42.446396,-71.459405,-5,1
114,114,8610000US02163,2163,"ZIP 02163 (Boston, MA)",0,Total for all sectors,2012,29,324.0,2782,12293,Boston,MA,42.367946,-71.12056,-5,1
115,115,8610000US02169,2169,"ZIP 02169 (Quincy, MA)",0,Total for all sectors,2012,1494,28709.0,373649,1487911,Quincy,MA,42.250739,-70.99593,-5,1
116,116,8610000US02170,2170,"ZIP 02170 (Quincy, MA)",0,Total for all sectors,2012,237,16481.0,63638,268433,Quincy,MA,42.267049,-71.01834,-5,1
117,117,8610000US02171,2171,"ZIP 02171 (Quincy, MA)",0,Total for all sectors,2012,364,10891.0,240519,786104,Quincy,MA,42.284498,-71.02316,-5,1
