Unnamed: 0,latitude,longitude,nrides
172,42.2914141414,-71.0372727273,-9.3243392121
173,42.2914141414,-71.0351515152,-9.52853398953
174,42.2914141414,-71.033030303,-9.70231585404
175,42.2914141414,-71.0309090909,-9.87555989119
176,42.2914141414,-71.0287878788,-10.0802856627
177,42.2914141414,-71.0266666667,-10.3475681497
178,42.2914141414,-71.0245454545,-10.7037551163
179,42.2914141414,-71.0224242424,-11.1663158481
180,42.2914141414,-71.0203030303,-11.7402052133
181,42.2914141414,-71.0181818182,-12.4159261637
182,42.2914141414,-71.0160606061,-13.1702422912
183,42.2914141414,-71.0139393939,-13.9697375764
184,42.2914141414,-71.0118181818,-14.7764560419
185,42.2914141414,-71.0096969697,-15.5541342747
186,42.2914141414,-71.0075757576,-16.2734014582
187,42.2914141414,-71.0054545455,-16.9147981035
188,42.2914141414,-71.0033333333,-17.4692911821
189,42.2914141414,-71.0012121212,-17.9367509953
190,42.2914141414,-70.9990909091,-18.3233061886
191,42.2914141414,-70.996969697,-18.638524271
192,42.2914141414,-70.9948484848,-18.8930891929
193,42.2914141414,-70.9927272727,-19.0972651266
194,42.2914141414,-70.9906060606,-19.2601172332
195,42.2914141414,-70.9884848485,-19.3892860714
196,42.2914141414,-70.9863636364,-19.4910759557
197,42.2914141414,-70.9842424242,-19.5706661543
198,42.2914141414,-70.9821212121,-19.6323300633
199,42.2914141414,-70.98,-19.6796135447
200,42.2928282828,-71.19,-19.7832166199
201,42.2928282828,-71.1878787879,-19.7668710512
202,42.2928282828,-71.1857575758,-19.7400710887
203,42.2928282828,-71.1836363636,-19.6979039248
204,42.2928282828,-71.1815151515,-19.6342131868
205,42.2928282828,-71.1793939394,-19.5420468532
206,42.2928282828,-71.1772727273,-19.414539552
207,42.2928282828,-71.1751515152,-19.2461859502
208,42.2928282828,-71.173030303,-19.0342662093
209,42.2928282828,-71.1709090909,-18.7799847287
210,42.2928282828,-71.1687878788,-18.4887752574
211,42.2928282828,-71.1666666667,-18.1693049265
212,42.2928282828,-71.1645454545,-17.8310189652
213,42.2928282828,-71.1624242424,-17.4805513507
214,42.2928282828,-71.1603030303,-17.1178303051
215,42.2928282828,-71.1581818182,-16.7330332794
216,42.2928282828,-71.1560606061,-16.3055406714
217,42.2928282828,-71.1539393939,-15.8056661459
218,42.2928282828,-71.1518181818,-15.1992997859
219,42.2928282828,-71.1496969697,-14.4548601035
220,42.2928282828,-71.1475757576,-13.5512823499
221,42.2928282828,-71.1454545455,-12.4853028043
222,42.2928282828,-71.1433333333,-11.2761403679
223,42.2928282828,-71.1412121212,-9.9659491719
224,42.2928282828,-71.1390909091,-8.61522085587
225,42.2928282828,-71.136969697,-7.29361101823
226,42.2928282828,-71.1348484848,-6.06813546979
227,42.2928282828,-71.1327272727,-4.99175436702
228,42.2928282828,-71.1306060606,-4.09545019329
229,42.2928282828,-71.1284848485,-3.3857942193
230,42.2928282828,-71.1263636364,-2.84811288024
231,42.2928282828,-71.1242424242,-2.45366473938
232,42.2928282828,-71.1221212121,-2.1685635141
233,42.2928282828,-71.12,-1.96243622309
234,42.2928282828,-71.1178787879,-1.8149891667
235,42.2928282828,-71.1157575758,-1.71842391224
236,42.2928282828,-71.1136363636,-1.67445746258
237,42.2928282828,-71.1115151515,-1.68771115523
238,42.2928282828,-71.1093939394,-1.76011459551
239,42.2928282828,-71.1072727273,-1.88824199629
240,42.2928282828,-71.1051515152,-1.99196207956
241,42.2928282828,-71.103030303,-2.14213953241
242,42.2928282828,-71.1009090909,-2.3327259354
243,42.2928282828,-71.0987878788,-2.55203394918
244,42.2928282828,-71.0966666667,-2.77950110637
245,42.2928282828,-71.0945454545,-2.98439853001
246,42.2928282828,-71.0924242424,-3.12682999074
247,42.2928282828,-71.0903030303,-3.16152171023
248,42.2928282828,-71.0881818182,-3.0449567227
249,42.2928282828,-71.0860606061,-2.74563339451
250,42.2928282828,-71.0839393939,-2.25567828242
251,42.2928282828,-71.0818181818,-1.60032150158
252,42.2928282828,-71.0796969697,-0.828327153138
253,42.2928282828,-71.0775757576,-0.0630151280934
254,42.2928282828,-71.0754545455,0.556755714337
255,42.2928282828,-71.0733333333,0.974569289387
256,42.2928282828,-71.0712121212,1.1602914251
257,42.2928282828,-71.0690909091,1.10564925993
258,42.2928282828,-71.066969697,0.817515028589
259,42.2928282828,-71.0648484848,0.316602914984
260,42.2928282828,-71.0627272727,-0.360660086312
261,42.2928282828,-71.0606060606,-1.16722506433
262,42.2928282828,-71.0584848485,-2.0607296642
263,42.2928282828,-71.0563636364,-2.92460964209
264,42.2928282828,-71.0542424242,-3.7139869761
265,42.2928282828,-71.0521212121,-4.46634416592
266,42.2928282828,-71.05,-5.18314332285
267,42.2928282828,-71.0478787879,-5.85728232779
268,42.2928282828,-71.0457575758,-6.47498194936
269,42.2928282828,-71.0436363636,-7.0223998701
270,42.2928282828,-71.0415151515,-7.49198553608
271,42.2928282828,-71.0393939394,-7.88586176487
272,42.2928282828,-71.0372727273,-8.21594056151
273,42.2928282828,-71.0351515152,-8.50189293828
274,42.2928282828,-71.033030303,-8.76836520965
275,42.2928282828,-71.0309090909,-9.04234978188
276,42.2928282828,-71.0287878788,-9.3509042514
277,42.2928282828,-71.0266666667,-9.7189121766
278,42.2928282828,-71.0245454545,-10.1665238511
279,42.2928282828,-71.0224242424,-10.7062815311
280,42.2928282828,-71.0203030303,-11.3404759579
281,42.2928282828,-71.0181818182,-12.0596514242
282,42.2928282828,-71.0160606061,-12.843102002
283,42.2928282828,-71.0139393939,-13.6616458188
284,42.2928282828,-71.0118181818,-14.4821680628
285,42.2928282828,-71.0096969697,-15.2727759004
286,42.2928282828,-71.0075757576,-16.0072230693
287,42.2928282828,-71.0054545455,-16.6676019379
288,42.2928282828,-71.0033333333,-17.2449658466
289,42.2928282828,-71.0012121212,-17.7382100936
290,42.2928282828,-70.9990909091,-18.1519434665
291,42.2928282828,-70.996969697,-18.4941372185
292,42.2928282828,-70.9948484848,-18.7741283893
293,42.2928282828,-70.9927272727,-19.0012433911
294,42.2928282828,-70.9906060606,-19.1840408499
295,42.2928282828,-70.9884848485,-19.3300213054
296,42.2928282828,-70.9863636364,-19.4456139691
297,42.2928282828,-70.9842424242,-19.5362853828
298,42.2928282828,-70.9821212121,-19.6066744074
299,42.2928282828,-70.98,-19.6607107637
300,42.2942424242,-71.19,-19.781232844
301,42.2942424242,-71.1878787879,-19.767402531
302,42.2942424242,-71.1857575758,-19.745001406
303,42.2942424242,-71.1836363636,-19.7101613389
304,42.2942424242,-71.1815151515,-19.6579923043
305,42.2942424242,-71.1793939394,-19.5828591886
306,42.2942424242,-71.1772727273,-19.4789448114
307,42.2942424242,-71.1751515152,-19.3410729587
308,42.2942424242,-71.173030303,-19.1656332442
309,42.2942424242,-71.1709090909,-18.9513142455
310,42.2942424242,-71.1687878788,-18.6992777137
311,42.2942424242,-71.1666666667,-18.4124608962
312,42.2942424242,-71.1645454545,-18.0939061752
313,42.2942424242,-71.1624242424,-17.744350737
314,42.2942424242,-71.1603030303,-17.3596591169
315,42.2942424242,-71.1581818182,-16.9289118298
316,42.2942424242,-71.1560606061,-16.4339658704
317,42.2942424242,-71.1539393939,-15.8510476939
318,42.2942424242,-71.1518181818,-15.1544835674
319,42.2942424242,-71.1496969697,-14.3221257956
320,42.2942424242,-71.1475757576,-13.3415120963
321,42.2942424242,-71.1454545455,-12.2154019001
322,42.2942424242,-71.1433333333,-10.9651747966
323,42.2942424242,-71.1412121212,-9.63077941841
324,42.2942424242,-71.1390909091,-8.26658632764
325,42.2942424242,-71.136969697,-6.93358499439
326,42.2942424242,-71.1348484848,-5.68958469755
327,42.2942424242,-71.1327272727,-4.57992713038
328,42.2942424242,-71.1306060606,-3.63120063616
329,42.2942424242,-71.1284848485,-2.84942314508
330,42.2942424242,-71.1263636364,-2.22259917229
331,42.2942424242,-71.1242424242,-1.72639519682
332,42.2942424242,-71.1221212121,-1.33157091553
333,42.2942424242,-71.12,-1.01214215714
334,42.2942424242,-71.1178787879,-0.752552831747
335,42.2942424242,-71.1157575758,-0.550547600097
336,42.2942424242,-71.1136363636,-0.413005544558
337,42.2942424242,-71.1115151515,-0.346728731983
338,42.2942424242,-71.1093939394,-0.351159377946
339,42.2942424242,-71.1072727273,-0.414683927259
340,42.2942424242,-71.1051515152,-0.509705684956
341,42.2942424242,-71.103030303,-0.642041541293
342,42.2942424242,-71.1009090909,-0.8053088076
343,42.2942424242,-71.0987878788,-0.990615338597
344,42.2942424242,-71.0966666667,-1.18194847392
345,42.2942424242,-71.0945454545,-1.35458970181
346,42.2942424242,-71.0924242424,-1.47628184338
347,42.2942424242,-71.0903030303,-1.5108690017
348,42.2942424242,-71.0881818182,-1.42445509087
349,42.2942424242,-71.0860606061,-1.19371136442
350,42.2942424242,-71.0839393939,-0.814827679418
351,42.2942424242,-71.0818181818,-0.30817249176
352,42.2942424242,-71.0796969697,0.261792457054
353,42.2942424242,-71.0775757576,0.783616818996
354,42.2942424242,-71.0754545455,1.19053716592
355,42.2942424242,-71.0733333333,1.4471662023
356,42.2942424242,-71.0712121212,1.53897355924
357,42.2942424242,-71.0690909091,1.46680285186
358,42.2942424242,-71.066969697,1.23940773008
359,42.2942424242,-71.0648484848,0.869612109603
360,42.2942424242,-71.0627272727,0.373548870471
361,42.2942424242,-71.0606060606,-0.23210779724
362,42.2942424242,-71.0584848485,-0.936579507149
363,42.2942424242,-71.0563636364,-1.69733418508
364,42.2942424242,-71.0542424242,-2.43056264034
365,42.2942424242,-71.0521212121,-3.16130206021
366,42.2942424242,-71.05,-3.87954085221
367,42.2942424242,-71.0478787879,-4.5682801563
368,42.2942424242,-71.0457575758,-5.20719493512
369,42.2942424242,-71.0436363636,-5.77966597735
370,42.2942424242,-71.0415151515,-6.27870306516
371,42.2942424242,-71.0393939394,-6.70914998938
372,42.2942424242,-71.0372727273,-7.08620385448
373,42.2942424242,-71.0351515152,-7.43186861738
374,42.2942424242,-71.033030303,-7.77113231831
375,42.2942424242,-71.0309090909,-8.1289489402
376,42.2942424242,-71.0287878788,-8.52820536856
377,42.2942424242,-71.0266666667,-8.98824151434
378,42.2942424242,-71.0245454545,-9.52336802161
379,42.2942424242,-71.0224242424,-10.1411404343
380,42.2942424242,-71.0203030303,-10.8406655161
381,42.2942424242,-71.0181818182,-11.6116183219
382,42.2942424242,-71.0160606061,-12.4346836495
383,42.2942424242,-71.0139393939,-13.283745109
384,42.2942424242,-71.0118181818,-14.129509932
385,42.2942424242,-71.0096969697,-14.9436998578
386,42.2942424242,-71.0075757576,-15.7027354678
387,42.2942424242,-71.0054545455,-16.3900715405
388,42.2942424242,-71.0033333333,-16.9968588645
389,42.2942424242,-71.0012121212,-17.5211520878
390,42.2942424242,-70.9990909091,-17.9662309458
391,42.2942424242,-70.996969697,-18.3386704717
392,42.2942424242,-70.9948484848,-18.646642917
393,42.2942424242,-70.9927272727,-18.8986897366
394,42.2942424242,-70.9906060606,-19.1029851425
395,42.2942424242,-70.9884848485,-19.2669848198
396,42.2942424242,-70.9863636364,-19.3973164907
397,42.2942424242,-70.9842424242,-19.4997912209
398,42.2942424242,-70.9821212121,-19.5794584001
399,42.2942424242,-70.98,-19.6406675363
400,42.2956565657,-71.19,-19.7748315016
401,42.2956565657,-71.1878787879,-19.7627828095
402,42.2956565657,-71.1857575758,-19.7433938909
403,42.2956565657,-71.1836363636,-19.7135126721
404,42.2956565657,-71.1815151515,-19.6691224435
405,42.2956565657,-71.1793939394,-19.6054925062
406,42.2956565657,-71.1772727273,-19.5175005024
407,42.2956565657,-71.1751515152,-19.4001135294
408,42.2956565657,-71.173030303,-19.2489325368
409,42.2956565657,-71.1709090909,-19.0606183086
410,42.2956565657,-71.1687878788,-18.8329695634
411,42.2956565657,-71.1666666667,-18.5644583862
412,42.2956565657,-71.1645454545,-18.253166604
413,42.2956565657,-71.1624242424,-17.8952865129
414,42.2956565657,-71.1603030303,-17.4835825661
415,42.2956565657,-71.1581818182,-17.0063667298
416,42.2956565657,-71.1560606061,-16.4475450014
417,42.2956565657,-71.1539393939,-15.7881208879
418,42.2956565657,-71.1518181818,-15.0092241596
419,42.2956565657,-71.1496969697,-14.0963366391
420,42.2956565657,-71.1475757576,-13.0439882547
421,42.2956565657,-71.1454545455,-11.8598770784
422,42.2956565657,-71.1433333333,-10.5672256296
423,42.2956565657,-71.1412121212,-9.20434177077
424,42.2956565657,-71.1390909091,-7.82089569018
425,42.2956565657,-71.136969697,-6.47131360736
426,42.2956565657,-71.1348484848,-5.20666986045
427,42.2956565657,-71.1327272727,-4.06710208214
428,42.2956565657,-71.1306060606,-3.07667632264
429,42.2956565657,-71.1284848485,-2.24172164759
430,42.2956565657,-71.1263636364,-1.55244275095
431,42.2956565657,-71.1242424242,-0.987023244108
432,42.2956565657,-71.1221212121,-0.517857110612
433,42.2956565657,-71.12,-0.119800255459
434,42.2956565657,-71.1178787879,0.221424525843
435,42.2956565657,-71.1157575758,0.505395250819
436,42.2956565657,-71.1136363636,0.721926529767
437,42.2956565657,-71.1115151515,0.862656719991
438,42.2956565657,-71.1093939394,0.930302755399
439,42.2956565657,-71.1072727273,0.917104080204
440,42.2956565657,-71.1051515152,0.828924442325
441,42.2956565657,-71.103030303,0.722960458581
442,42.2956565657,-71.1009090909,0.604732390795
443,42.2956565657,-71.0987878788,0.479003305039
444,42.2956565657,-71.0966666667,0.356116595405
445,42.2956565657,-71.0945454545,0.253920335965
446,42.2956565657,-71.0924242424,0.196217060823
447,42.2956565657,-71.0903030303,0.208927511305
448,42.2956565657,-71.0881818182,0.314592014138
449,42.2956565657,-71.0860606061,0.525874271375
450,42.2956565657,-71.0839393939,0.836127205574
451,42.2956565657,-71.0818181818,1.20736436215
452,42.2956565657,-71.0796969697,1.58323289748
453,42.2956565657,-71.0775757576,1.84959235236
454,42.2956565657,-71.0754545455,2.02914448694
455,42.2956565657,-71.0733333333,2.1068461824
456,42.2956565657,-71.0712121212,2.08356792439
457,42.2956565657,-71.0690909091,1.96947087544
458,42.2956565657,-71.066969697,1.7751503962
459,42.2956565657,-71.0648484848,1.50492808604
460,42.2956565657,-71.0627272727,1.15439330966
461,42.2956565657,-71.0606060606,0.71164319156
462,42.2956565657,-71.0584848485,0.160349231665
463,42.2956565657,-71.0563636364,-0.510016575239
464,42.2956565657,-71.0542424242,-1.22428852997
465,42.2956565657,-71.0521212121,-1.95598666756
466,42.2956565657,-71.05,-2.68408671412
467,42.2956565657,-71.0478787879,-3.38404738319
468,42.2956565657,-71.0457575758,-4.03190538545
469,42.2956565657,-71.0436363636,-4.61100994588
470,42.2956565657,-71.0415151515,-5.11723826505
471,42.2956565657,-71.0393939394,-5.55996119466
472,42.2956565657,-71.0372727273,-5.95903497017
473,42.2956565657,-71.0351515152,-6.33989834455
474,42.2956565657,-71.033030303,-6.72889040491
475,42.2956565657,-71.0309090909,-7.14995891118
476,42.2956565657,-71.0287878788,-7.62287223346
477,42.2956565657,-71.0266666667,-8.16237819235
478,42.2956565657,-71.0245454545,-8.77761258401
479,42.2956565657,-71.0224242424,-9.47135016333
480,42.2956565657,-71.0203030303,-10.2391753991
481,42.2956565657,-71.0181818182,-11.0690502956
482,42.2956565657,-71.0160606061,-11.9418539889
483,42.2956565657,-71.0139393939,-12.8332049906
484,42.2956565657,-71.0118181818,-13.7163870011
485,42.2956565657,-71.0096969697,-14.5657406509
486,42.2956565657,-71.0075757576,-15.3596894581
487,42.2956565657,-71.0054545455,-16.0827184731
488,42.2956565657,-71.0033333333,-16.72601646
489,42.2956565657,-71.0012121212,-17.2869236069
490,42.2956565657,-70.9990909091,-17.7676153572
491,42.2956565657,-70.996969697,-18.1735244454
492,42.2956565657,-70.9948484848,-18.5118963885
493,42.2956565657,-70.9927272727,-18.790687541
494,42.2956565657,-70.9906060606,-19.0178436707
495,42.2956565657,-70.9884848485,-19.200891712
496,42.2956565657,-70.9863636364,-19.3467421878
497,42.2956565657,-70.9842424242,-19.461611588
498,42.2956565657,-70.9821212121,-19.5510043598
499,42.2956565657,-70.98,-19.6197230728
500,42.2970707071,-71.19,-19.7615466444
501,42.2970707071,-71.1878787879,-19.7507745945
502,42.2970707071,-71.1857575758,-19.7333332459
503,42.2970707071,-71.1836363636,-19.7065017057
504,42.2970707071,-71.1815151515,-19.6668069618
505,42.2970707071,-71.1793939394,-19.6100885446
506,42.2970707071,-71.1772727273,-19.5316448323
507,42.2970707071,-71.1751515152,-19.4264582882
508,42.2970707071,-71.173030303,-19.2894530301
509,42.2970707071,-71.1709090909,-19.115689043
510,42.2970707071,-71.1687878788,-18.9003679706
511,42.2970707071,-71.1666666667,-18.638544245
512,42.2970707071,-71.1645454545,-18.3245182085
513,42.2970707071,-71.1624242424,-17.9510235897
514,42.2970707071,-71.1603030303,-17.5084688601
515,42.2970707071,-71.1581818182,-16.9845926995
516,42.2970707071,-71.1560606061,-16.3648977518
517,42.2970707071,-71.1539393939,-15.6341126527
518,42.2970707071,-71.1518181818,-14.7787133081
519,42.2970707071,-71.1496969697,-13.7902489035
520,42.2970707071,-71.1475757576,-12.6689174125
521,42.2970707071,-71.1454545455,-11.4265838848
522,42.2970707071,-71.1433333333,-10.0883199864
523,42.2970707071,-71.1412121212,-8.69166980109
524,42.2970707071,-71.1390909091,-7.28328803013
525,42.2970707071,-71.136969697,-5.9133102148
526,42.2970707071,-71.1348484848,-4.62858168636
527,42.2970707071,-71.1327272727,-3.4663369588
528,42.2970707071,-71.1306060606,-2.44976810591
529,42.2970707071,-71.1284848485,-1.58614810777
530,42.2970707071,-71.1263636364,-0.867323487096
531,42.2970707071,-71.1242424242,-0.272320842539
532,42.2970707071,-71.1221212121,0.227388443527
533,42.2970707071,-71.12,0.659451746035
534,42.2970707071,-71.1178787879,1.04117297951
535,42.2970707071,-71.1157575758,1.37459010504
536,42.2970707071,-71.1136363636,1.650879829
537,42.2970707071,-71.1115151515,1.86226968432
538,42.2970707071,-71.1093939394,2.01239040526
539,42.2970707071,-71.1072727273,2.02988649305
540,42.2970707071,-71.1051515152,1.95226752814
541,42.2970707071,-71.103030303,1.88566677283
542,42.2970707071,-71.1009090909,1.83369295235
543,42.2970707071,-71.0987878788,1.79635984303
544,42.2970707071,-71.0966666667,1.7779749625
545,42.2970707071,-71.0945454545,1.78933057229
546,42.2970707071,-71.0924242424,1.8456073281
547,42.2970707071,-71.0903030303,1.96200294342
548,42.2970707071,-71.0881818182,2.14848754397
549,42.2970707071,-71.0860606061,2.40482714379
550,42.2970707071,-71.0839393939,2.66071728889
551,42.2970707071,-71.0818181818,2.94494862269
552,42.2970707071,-71.0796969697,3.15079362581
553,42.2970707071,-71.0775757576,3.15772966518
554,42.2970707071,-71.0754545455,3.10272916856
555,42.2970707071,-71.0733333333,2.98929166561
556,42.2970707071,-71.0712121212,2.8321587289
557,42.2970707071,-71.0690909091,2.64976804149
558,42.2970707071,-71.066969697,2.45415962961
559,42.2970707071,-71.0648484848,2.24189330038
560,42.2970707071,-71.0627272727,1.99064653178
561,42.2970707071,-71.0606060606,1.66462172756
562,42.2970707071,-71.0584848485,1.22605166454
563,42.2970707071,-71.0563636364,0.644554254378
564,42.2970707071,-71.0542424242,-0.0924785721442
565,42.2970707071,-71.0521212121,-0.852319381706
566,42.2970707071,-71.05,-1.60317031017
567,42.2970707071,-71.0478787879,-2.31545420452
568,42.2970707071,-71.0457575758,-2.96434784068
569,42.2970707071,-71.0436363636,-3.53569948817
570,42.2970707071,-71.0415151515,-4.03031900713
571,42.2970707071,-71.0393939394,-4.46367671214
572,42.2970707071,-71.0372727273,-4.86148502716
573,42.2970707071,-71.0351515152,-5.25363811165
574,42.2970707071,-71.033030303,-5.66885914128
575,42.2970707071,-71.0309090909,-6.13123401691
576,42.2970707071,-71.0287878788,-6.6586398948
