latitude,longitude,nrides
42.2914141414,-71.0839393939,-3.51453507117
42.2914141414,-71.0818181818,-2.69454085529
42.2914141414,-71.0796969697,-1.74401992377
42.2914141414,-71.0775757576,-0.759580961118
42.2914141414,-71.0754545455,0.0487288884788
42.2914141414,-71.0733333333,0.604436878027
42.2914141414,-71.0712121212,0.863023916676
42.2914141414,-71.0690909091,0.808025948828
42.2914141414,-71.066969697,0.443840673087
42.2914141414,-71.0648484848,-0.203580709707
42.2914141414,-71.0627272727,-1.08062609999
42.2914141414,-71.0606060606,-2.11048299916
42.2914141414,-71.0584848485,-3.21585648017
42.2914141414,-71.0563636364,-4.19557081421
42.2914141414,-71.0542424242,-5.06722579188
42.2914141414,-71.0521212121,-5.85592483918
42.2914141414,-71.05,-6.57444730858
42.2914141414,-71.0478787879,-7.22730796083
42.2914141414,-71.0457575758,-7.80963892262
42.2914141414,-71.0436363636,-8.31275059093
42.2914141414,-71.0415151515,-8.73065676408
42.2914141414,-71.0393939394,-9.06451832009
42.2914141414,-71.0372727273,-9.3243392121
42.2914141414,-71.0351515152,-9.52853398953
42.2914141414,-71.033030303,-9.70231585404
42.2914141414,-71.0309090909,-9.87555989119
42.2914141414,-71.0287878788,-10.0802856627
42.2914141414,-71.0266666667,-10.3475681497
42.2914141414,-71.0245454545,-10.7037551163
42.2914141414,-71.0224242424,-11.1663158481
42.2914141414,-71.0203030303,-11.7402052133
42.2914141414,-71.0181818182,-12.4159261637
42.2914141414,-71.0160606061,-13.1702422912
42.2914141414,-71.0139393939,-13.9697375764
42.2914141414,-71.0118181818,-14.7764560419
42.2914141414,-71.0096969697,-15.5541342747
42.2914141414,-71.0075757576,-16.2734014582
42.2914141414,-71.0054545455,-16.9147981035
42.2914141414,-71.0033333333,-17.4692911821
42.2914141414,-71.0012121212,-17.9367509953
42.2914141414,-70.9990909091,-18.3233061886
42.2914141414,-70.996969697,-18.638524271
42.2914141414,-70.9948484848,-18.8930891929
42.2914141414,-70.9927272727,-19.0972651266
42.2914141414,-70.9906060606,-19.2601172332
42.2914141414,-70.9884848485,-19.3892860714
42.2914141414,-70.9863636364,-19.4910759557
42.2914141414,-70.9842424242,-19.5706661543
42.2914141414,-70.9821212121,-19.6323300633
42.2914141414,-70.98,-19.6796135447
42.2928282828,-71.19,-19.7832166199
42.2928282828,-71.1878787879,-19.7668710512
42.2928282828,-71.1857575758,-19.7400710887
42.2928282828,-71.1836363636,-19.6979039248
42.2928282828,-71.1815151515,-19.6342131868
42.2928282828,-71.1793939394,-19.5420468532
42.2928282828,-71.1772727273,-19.414539552
42.2928282828,-71.1751515152,-19.2461859502
42.2928282828,-71.173030303,-19.0342662093
42.2928282828,-71.1709090909,-18.7799847287
42.2928282828,-71.1687878788,-18.4887752574
42.2928282828,-71.1666666667,-18.1693049265
42.2928282828,-71.1645454545,-17.8310189652
42.2928282828,-71.1624242424,-17.4805513507
42.2928282828,-71.1603030303,-17.1178303051
42.2928282828,-71.1581818182,-16.7330332794
42.2928282828,-71.1560606061,-16.3055406714
42.2928282828,-71.1539393939,-15.8056661459
42.2928282828,-71.1518181818,-15.1992997859
42.2928282828,-71.1496969697,-14.4548601035
42.2928282828,-71.1475757576,-13.5512823499
42.2928282828,-71.1454545455,-12.4853028043
42.2928282828,-71.1433333333,-11.2761403679
