,latitude,longitude,nrides
152,42.2914141414,-71.0796969697,-2.06772571171
153,42.2914141414,-71.0775757576,-0.913513605904
154,42.2914141414,-71.0754545455,0.0593707254237
155,42.2914141414,-71.0733333333,0.74477204079
156,42.2914141414,-71.0712121212,1.07308554959
157,42.2914141414,-71.0690909091,1.01127075155
158,42.2914141414,-71.066969697,0.557533459146
159,42.2914141414,-71.0648484848,-0.255907685037
160,42.2914141414,-71.0627272727,-1.35522944427
161,42.2914141414,-71.0606060606,-2.63294668101
162,42.2914141414,-71.0584848485,-3.98024739621
163,42.2914141414,-71.0563636364,-5.32319972048
164,42.2914141414,-71.0542424242,-6.63475433951
165,42.2914141414,-71.0521212121,-7.91779913351
166,42.2914141414,-71.05,-9.17780249576
167,42.2914141414,-71.0478787879,-10.4042830493
168,42.2914141414,-71.0457575758,-11.5672089788
169,42.2914141414,-71.0436363636,-12.6242882057
170,42.2914141414,-71.0415151515,-13.5327061942
171,42.2914141414,-71.0393939394,-14.260419625
172,42.2914141414,-71.0372727273,-14.7942067005
173,42.2914141414,-71.0351515152,-15.1433090921
174,42.2914141414,-71.033030303,-15.3386163536
175,42.2914141414,-71.0309090909,-15.4279999593
176,42.2914141414,-71.0287878788,-15.4687628461
177,42.2914141414,-71.0266666667,-15.5184558992
178,42.2914141414,-71.0245454545,-15.6256238422
179,42.2914141414,-71.0224242424,-15.8222507782
180,42.2914141414,-71.0203030303,-16.1195266211
181,42.2914141414,-71.0181818182,-16.5078916799
182,42.2914141414,-71.0160606061,-16.9612419211
183,42.2914141414,-71.0139393939,-17.4440520593
184,42.2914141414,-71.0118181818,-17.9194365015
185,42.2914141414,-71.0096969697,-18.3561032663
186,42.2914141414,-71.0075757576,-18.7327481014
187,42.2914141414,-71.0054545455,-19.0393960793
188,42.2914141414,-71.0033333333,-19.2761267452
189,42.2914141414,-71.0012121212,-19.4502012048
190,42.2914141414,-70.9990909091,-19.5727323654
191,42.2914141414,-70.996969697,-19.6557906352
192,42.2914141414,-70.9948484848,-19.7104143497
193,42.2914141414,-70.9927272727,-19.7455921757
194,42.2914141414,-70.9906060606,-19.7680216308
195,42.2914141414,-70.9884848485,-19.7823483049
196,42.2914141414,-70.9863636364,-19.7916139009
197,42.2914141414,-70.9842424242,-19.7977247434
198,42.2914141414,-70.9821212121,-19.8018429567
199,42.2914141414,-70.98,-19.8046708733
200,42.2928282828,-71.19,-19.7904327827
201,42.2928282828,-71.1878787879,-19.7777175562
202,42.2928282828,-71.1857575758,-19.7561756536
203,42.2928282828,-71.1836363636,-19.7215189705
204,42.2928282828,-71.1815151515,-19.6684024446
205,42.2928282828,-71.1793939394,-19.5909027555
206,42.2928282828,-71.1772727273,-19.483426951
207,42.2928282828,-71.1751515152,-19.3420062784
208,42.2928282828,-71.173030303,-19.165738196
209,42.2928282828,-71.1709090909,-18.9579438665
210,42.2928282828,-71.1687878788,-18.7265013968
211,42.2928282828,-71.1666666667,-18.482886961
212,42.2928282828,-71.1645454545,-18.239743794
213,42.2928282828,-71.1624242424,-18.0072478038
214,42.2928282828,-71.1603030303,-17.7890045928
215,42.2928282828,-71.1581818182,-17.5785192541
216,42.2928282828,-71.1560606061,-17.3573005571
217,42.2928282828,-71.1539393939,-17.0953798643
218,42.2928282828,-71.1518181818,-16.7545383613
219,42.2928282828,-71.1496969697,-16.2939872741
220,42.2928282828,-71.1475757576,-15.6777444551
221,42.2928282828,-71.1454545455,-14.8825376351
222,42.2928282828,-71.1433333333,-13.9047503529
223,42.2928282828,-71.1412121212,-12.7647705465
224,42.2928282828,-71.1390909091,-11.5072509702
225,42.2928282828,-71.136969697,-10.1964142492
226,42.2928282828,-71.1348484848,-8.90667049436
227,42.2928282828,-71.1327272727,-7.7102237136
228,42.2928282828,-71.1306060606,-6.6645090737
229,42.2928282828,-71.1284848485,-5.80264820885
230,42.2928282828,-71.1263636364,-5.12938971735
231,42.2928282828,-71.1242424242,-4.62363519608
232,42.2928282828,-71.1221212121,-4.24740846126
233,42.2928282828,-71.12,-3.95990956997
234,42.2928282828,-71.1178787879,-3.73272895479
235,42.2928282828,-71.1157575758,-3.55877863976
236,42.2928282828,-71.1136363636,-3.44828090284
237,42.2928282828,-71.1115151515,-3.41428014183
238,42.2928282828,-71.1093939394,-3.4599085364
239,42.2928282828,-71.1072727273,-3.57697819668
240,42.2928282828,-71.1051515152,-3.75242890296
241,42.2928282828,-71.103030303,-3.97236274828
242,42.2928282828,-71.1009090909,-4.2195469468
243,42.2928282828,-71.0987878788,-4.46853993343
244,42.2928282828,-71.0966666667,-4.68348492437
245,42.2928282828,-71.0945454545,-4.81987912793
246,42.2928282828,-71.0924242424,-4.82934737561
247,42.2928282828,-71.0903030303,-4.66662040494
248,42.2928282828,-71.0881818182,-4.29837544744
249,42.2928282828,-71.0860606061,-3.71307516575
250,42.2928282828,-71.0839393939,-2.92971925497
251,42.2928282828,-71.0818181818,-2.00232981821
252,42.2928282828,-71.0796969697,-1.01685084411
253,42.2928282828,-71.0775757576,-0.0787252786208
254,42.2928282828,-71.0754545455,0.706787348878
255,42.2928282828,-71.0733333333,1.25451045472
256,42.2928282828,-71.0712121212,1.5104530967
257,42.2928282828,-71.0690909091,1.45100807761
258,42.2928282828,-71.066969697,1.07779971142
259,42.2928282828,-71.0648484848,0.417766577716
260,42.2928282828,-71.0627272727,-0.474528728072
261,42.2928282828,-71.0606060606,-1.52577902357
262,42.2928282828,-71.0584848485,-2.66738191079
263,42.2928282828,-71.0563636364,-3.85780004671
264,42.2928282828,-71.0542424242,-5.08619376434
265,42.2928282828,-71.0521212121,-6.35658207147
266,42.2928282828,-71.05,-7.66639031394
267,42.2928282828,-71.0478787879,-8.99303157928
268,42.2928282828,-71.0457575758,-10.2932160196
269,42.2928282828,-71.0436363636,-11.5120147089
270,42.2928282828,-71.0415151515,-12.5958977923
271,42.2928282828,-71.0393939394,-13.5046743309
272,42.2928282828,-71.0372727273,-14.2193165778
273,42.2928282828,-71.0351515152,-14.7446820061
274,42.2928282828,-71.033030303,-15.1075586018
275,42.2928282828,-71.0309090909,-15.3511586912
276,42.2928282828,-71.0287878788,-15.5273843978
277,42.2928282828,-71.0266666667,-15.6881980246
278,42.2928282828,-71.0245454545,-15.8774526054
279,42.2928282828,-71.0224242424,-16.1245432204
280,42.2928282828,-71.0203030303,-16.4410452926
281,42.2928282828,-71.0181818182,-16.8209659379
282,42.2928282828,-71.0160606061,-17.2443999589
283,42.2928282828,-71.0139393939,-17.6835164079
284,42.2928282828,-71.0118181818,-18.1092434728
285,42.2928282828,-71.0096969697,-18.4969928439
286,42.2928282828,-71.0075757576,-18.8302582394
287,42.2928282828,-71.0054545455,-19.101705671
288,42.2928282828,-71.0033333333,-19.3121252057
289,42.2928282828,-71.0012121212,-19.4680824479
290,42.2928282828,-70.9990909091,-19.5792028762
291,42.2928282828,-70.996969697,-19.6558159781
292,42.2928282828,-70.9948484848,-19.7073398767
293,42.2928282828,-70.9927272727,-19.7414593736
294,42.2928282828,-70.9906060606,-19.7639364617
