,stationid,terminal,station,municipal,lat,lng,status,popdensity,empdensity
71,75,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge,42.363562,-71.10042,Existing,21979.2591578,23252.433690033853
72,76,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge,42.366426,-71.105495,Existing,21078.8940698,22133.551183626056
73,77,S32001,Somerville City Hall,Somerville,42.386428,-71.096413,Existing,14514.017991,17873.375817447901
74,78,S32002,Union Square - Somerville,Somerville,42.379637,-71.095319,Existing,18115.3109552,20388.12883926928
75,79,S32003,Beacon St at Washington / Kirkland,Somerville,42.378551,-71.106541,Existing,17621.0367123,19040.377010691911
76,80,M32005,MIT Stata Center at Vassar St / Main St,Cambridge,42.362429,-71.090188,Existing,22735.9051099,23789.323045581579
77,81,D32019,Boylston St / Washington St,Boston,42.352409,-71.062679,Existing,18098.2906063,15934.303797962144
78,82,K32002,Brookline Town Hall / Library Washington St,Brookline,42.333689,-71.120526,Removed,15705.2021091,9671.5812165923417
79,83,C32011,South Bay Plaza,Boston,42.325941,-71.065928,Existing,14656.4051678,17503.338209420443
80,84,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Cambridge,42.366981,-71.076472,Existing,20234.4577662,22706.722910493612
81,85,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,Boston,42.330825,-71.057007,Removed,15575.4647466,15982.797910749912
82,86,K32003,Brookline Village - Station Street @ MBTA,Brookline,42.332799,-71.116205,Existing,15871.9321893,10140.020066245459
83,87,M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge,42.366621,-71.114214,Existing,19885.7472638,16699.345586784184
84,88,M32010,Inman Square at Vellucci Plaza / Hampshire St,Cambridge,42.374035,-71.101427,Existing,19446.1020928,--
85,89,M32020,Harvard Law School at Mass Ave / Jarvis St,Cambridge,42.379011,-71.119945,Existing,15636.1485093,11667.696452378528
86,90,M32001,Lechmere Station at Cambridge St / First St,Cambridge,42.3707,-71.07711,Existing,19587.5002838,23173.283927161247
87,91,M32002,One Kendall Square at Hampshire St / Portland St,Cambridge,42.366277,-71.09169,Existing,21783.0710406,24981.00667020306
88,92,C32014,University of Massachusetts Boston,Boston,42.311819,-71.035705,Existing,9856.316135,7549.1555680711754
89,93,C32013,JFK / UMASS Station,Boston,42.320494,-71.051122,Existing,12509.4884758,14150.643044151366
90,94,D32020,Charlestown - Main St at Austin St,Boston,42.375603,-71.064608,Existing,17014.2723455,15452.341682884842
91,95,M32007,Cambridge St - at Columbia St / Webster Ave,Cambridge,42.372969,-71.094445,Existing,20076.5041336,23608.899195544422
92,96,M32013,Cambridge Main Library at Broadway / Trowbridge St,Cambridge,42.373379,-71.111075,Existing,18658.2722953,18077.007751703262
93,97,M32015,Harvard  University River Houses at DeWolfe St / Cowperthwaite St,Cambridge,42.369182,-71.117152,Removed,19009.0326572,14332.596577022225
94,98,D32021,Charlestown - Warren St at Chelsea St,Boston,42.371848,-71.060292,Existing,17331.5869054,11303.052162125707
95,99,B32008,Mayor Thomas M. Menino - Government Center,Boston,42.35892,-71.057629,Existing,17913.914267,9739.634070311673
96,100,B32017,Dudley Square,Boston,42.328654,-71.084198,Existing,15434.0896645,18394.667433261871
97,101,B32020,BIDMC - Brookline at Burlington St,Boston,42.345733,-71.100694,Existing,21278.2983113,17725.140936881304
98,102,C32002,Boston Medical Center -  East Concord at Harrison Ave,Boston,42.336437,-71.073089,Existing,17086.2346835,20715.487197585404
99,103,C32008,Boylston at Fairfield,Boston,42.348762,-71.082383,Existing,20411.8167007,23208.435626298189
100,104,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,Boston,42.330716,-71.057044,Existing,15542.0782721,15963.027686655521
101,105,C32015,Mt Pleasant Ave / Dudley Town Common,Boston,42.325333,-71.075354,Existing,14688.3194163,18251.873365652747
102,106,C32016,West Broadway at Dorchester St,Boston,42.335693,-71.045859,Existing,15903.311497,10762.691878795624
103,107,C32017,South Boston Library - 646 East Broadway,Boston,42.335741,-71.03877,Existing,15081.4158578,9407.4942182004452
104,108,C32018,E. Cottage St at Columbia Rd,Boston,42.320561,-71.06198,Existing,13133.4840383,16680.717210814357
105,109,C32019,Upham's Corner - Ramsey St at Dudley St,Boston,42.317225,-71.065421,Existing,12550.4184716,16509.758440054953
106,110,D32001,New Balance - Guest St. at Life St.,Boston,42.356975,-71.145442,Existing,15262.8916418,9189.7108979523182
107,111,D32003,TD Garden - Causeway at Portal Park #2,Boston,42.366222,-71.059914,Existing,17928.1582376,10506.446544109844
108,112,D32004,Franklin St. / Arch St.,Boston,42.355402,-71.058087,Existing,17840.4532406,10780.692946960218
109,113,D32016,Charles Circle - Charles St. at Cambridge St.,Boston,42.36069,-71.070884,Existing,19702.3126463,18790.508501926437
110,114,D32022,TD Garden - Causeway at Portal Park #1,Boston,42.365942,-71.060515,Existing,17989.1456315,10615.840739320964
111,115,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,Boston,42.378338,-71.048927,Existing,15381.8138248,10431.601587507408
112,116,D32024,Charles St at Beacon St,Boston,42.356052,-71.069849,Existing,19246.3386208,19060.675539970398
113,117,D32025,Milk St at India St,Boston,42.358508,-71.052984,Existing,17459.3882463,9204.9239592002705
114,118,D32026,Hayes Square at Vine St.,Boston,42.377022,-71.056605,Existing,16046.7794778,11303.052162125707
115,119,D32027,New Balance Store - Boylston at Dartmouth,Boston,42.350413,-71.07655,Existing,19621.569181,22734.098176095635
116,120,E32001,JP Monument - South St at Centre St,Boston,42.309467,-71.115645,Existing,10416.8068748,9448.2482434362173
117,121,E32002,JP Centre - Centre Street at Myrtle Street,Boston,42.31309,-71.114175,Existing,11301.110816,9521.99131048657
118,122,E32003,Hyde Square at Barbara St,Boston,42.320998,-71.110833,Existing,13508.061355,10044.449506599456
119,123,E32004,Egleston Square at Columbus Ave,Boston,42.315692,-71.098634,Existing,12743.6543541,12354.381488001905
120,124,E32005,Green St T,Boston,42.310579,-71.107341,Existing,11478.1244898,10539.404294895474
121,125,E32006,Jackson Square T at Centre St,Boston,42.322913,-71.100164,Existing,14266.7381741,12796.716380748199
122,126,K32002,Washington Square at Washington St. / Beacon St.,Brookline,42.339335,-71.13493,Existing,14340.9489652,8468.7958530038595
123,127,K32004,JFK Crossing at Harvard St. / Thorndike St.,Brookline,42.346563,-71.128374,Existing,17543.3892114,9440.0724250301719
124,128,M32004,Kendall T at Main St,Cambridge,42.362457,-71.08497,Existing,22450.5154365,23536.526428088546
125,129,M32015,Harvard University River Houses / Plympton St at Memorial Drive,Cambridge,42.369832,-71.118201,Existing,18679.6421942,13633.663560546935
126,130,M32021,Harvard University Gund Hall at Quincy St / Kirkland S,Cambridge,42.376369,-71.114025,Existing,17296.3236876,15089.64964877069
127,131,M32022,Lower Cambridgeport at Magazine St/Riverside Rd,Cambridge,42.356954,-71.113687,Existing,20960.2337334,14478.070577405393
128,132,M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Cambridge,42.377945,-71.116865,Existing,16284.9060877,13154.889743302017
129,133,M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Cambridge,42.380287,-71.125107,Existing,15278.3628734,10113.548530446133
