,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,destpop,destwork,ridesperday
72,76.0,600.0,11072.0,262.0,42.366426,-71.105495,27060.0087989,33685.5520316,21378.323667,23585.9948171,42.2595419847
73,77.0,900.0,1835.0,252.0,42.386428,-71.096413,6076.64146682,33710.2774542,18638.9075402,15179.2392302,7.28174603175
74,78.0,720.0,4092.0,257.0,42.379637,-71.095319,15954.7892816,31172.4374146,19261.6741421,17306.366277,15.9221789883
75,79.0,600.0,5393.0,252.0,42.378551,-71.106541,23460.1713633,21990.7073379,19628.5658774,19414.7642955,21.4007936508
76,80.0,600.0,15279.0,256.0,42.362429,-71.090188,18829.9282114,26714.9643026,21560.0749199,24055.5400959,59.68359375
77,81.0,570.0,9283.0,253.0,42.352409,-71.062679,18316.2565939,17741.7311932,21373.9610635,23213.913967,36.6916996047
78,82.0,1000.0,301.0,39.0,42.333689,-71.120526,18099.6998256,7407.6314941,22529.7459722,19174.7958112,7.71794871795
79,83.0,960.0,1055.0,218.0,42.325941,-71.065928,13512.1168977,38113.0209021,20784.8598361,17282.2386276,4.83944954128
80,84.0,780.0,7870.0,252.0,42.366981,-71.076472,21791.0163032,25480.50767,20434.6154525,20676.8375664,31.2301587302
81,85.0,757.0,236.0,35.0,42.330825,-71.057007,13691.4269057,43156.1316373,20009.7991413,17648.021553,6.74285714286
82,86.0,930.0,3685.0,247.0,42.332799,-71.116205,18401.2683844,7021.33243126,22847.9277947,19627.2960559,14.9190283401
83,87.0,480.0,5242.0,231.0,42.366621,-71.114214,23366.493778,19090.456738,21317.0107547,23657.4562887,22.6926406926
84,88.0,600.0,8233.0,240.0,42.374035,-71.101427,28469.3798609,34001.0886162,20133.8691639,20363.6010688,34.3041666667
85,89.0,600.0,4232.0,232.0,42.379011,-71.119945,19414.1860145,13308.1488163,19319.0442952,21482.223246,18.2413793103
86,90.0,772.75,6790.0,234.0,42.3707,-71.07711,25250.9664074,30293.4026182,19921.9272387,18977.236594,29.0170940171
87,91.0,600.0,10533.0,238.0,42.366277,-71.09169,25314.3281248,38191.7057675,20984.179857,22583.7800453,44.256302521
88,92.0,1500.0,616.0,176.0,42.311819,-71.035705,8962.65764457,7972.55155204,15393.984012,11337.308153,3.5
89,93.0,1230.0,774.0,201.0,42.320494,-71.051122,10782.1107477,32099.3863479,18542.26152,14721.8795593,3.85074626866
90,94.0,840.0,4927.0,218.0,42.375603,-71.064608,30453.5135531,7334.71328031,19306.2555959,15930.3331866,22.6009174312
91,95.0,570.0,5518.0,231.0,42.372969,-71.094445,28878.1130737,34908.4484643,20067.9789116,19922.2117668,23.8874458874
92,96.0,600.0,5920.0,231.0,42.373379,-71.111075,24897.3253472,22447.5150005,20356.0854587,21698.6519574,25.6277056277
93,97.0,923.0,123.0,14.0,42.369182,-71.117152,23455.4805341,16758.6900037,20843.5194663,23131.6864102,8.78571428571
94,98.0,780.0,8428.0,229.0,42.371848,-71.060292,15802.4920131,10048.0419729,19702.1635397,17474.1929659,36.8034934498
95,99.0,600.0,9589.0,213.0,42.35892,-71.057629,17814.3060099,7352.49601828,20662.3505083,22173.7825751,45.0187793427
96,100.0,915.0,881.0,196.0,42.328654,-71.084198,16284.2671483,17746.0012476,22251.1123531,19112.5983644,4.49489795918
97,101.0,660.0,355.0,45.0,42.345733,-71.100694,29957.6479975,42037.7898926,23897.933565,26288.4640646,7.88888888889
98,102.0,630.0,5837.0,185.0,42.336437,-71.073089,24096.5502805,7169.82145521,22233.5907557,21347.5441216,31.5513513514
99,103.0,660.0,11052.0,188.0,42.348762,-71.082383,23167.0333887,42239.7015177,23017.89126,25811.4691643,58.7872340426
100,104.0,765.0,1116.0,120.0,42.330716,-71.057044,13630.7899857,43235.2864496,20009.7401828,17626.8662384,9.3
101,105.0,870.0,471.0,162.0,42.325333,-71.075354,14492.2520948,32434.0464759,21388.6244299,17478.8547454,2.90740740741
102,106.0,660.0,487.0,40.0,42.335693,-71.045859,16481.7498928,27955.2232254,18207.5633103,16718.8528208,12.175
103,107.0,720.0,237.0,42.0,42.335741,-71.03877,18300.5721409,19000.5305851,16756.2710012,15109.8033377,5.64285714286
104,108.0,960.0,53.0,35.0,42.320561,-71.06198,12109.2609261,31555.3649891,19986.8240785,15660.1001442,1.51428571429
105,109.0,840.0,39.0,24.0,42.317225,-71.065421,11946.3326656,26185.1207646,19970.2102618,14912.9358428,1.625
106,110.0,1080.0,1037.0,186.0,42.356975,-71.145442,14838.2763451,7333.53507572,18520.7828786,19936.984419,5.5752688172
107,111.0,660.0,10690.0,215.0,42.366222,-71.059914,15444.807963,8271.23531183,20256.6908886,20022.3642977,49.7209302326
108,112.0,480.0,9899.0,210.0,42.355402,-71.058087,17566.365973,9380.0586672,20826.9164052,22592.3774265,47.1380952381
109,113.0,660.0,15506.0,211.0,42.36069,-71.070884,18369.4425166,12722.4027631,21195.1872457,22825.0677168,73.4881516588
110,114.0,600.0,15239.0,182.0,42.365942,-71.060515,15631.8779982,8382.85618019,20299.8116526,20162.9079426,83.7307692308
111,115.0,780.0,3249.0,176.0,42.378338,-71.048927,14134.2754517,9314.5842461,19174.2563575,14504.9428275,18.4602272727
112,116.0,540.0,1060.0,43.0,42.356052,-71.069849,19318.5438976,18196.3493759,21675.5229731,23890.226818,24.6511627907
113,117.0,480.0,655.0,42.0,42.358508,-71.052984,17704.7564721,6513.66398084,20215.6977105,21771.4180853,15.5952380952
114,118.0,870.0,150.0,39.0,42.377022,-71.056605,21599.4851847,7988.4162357,19236.3851003,15103.6672448,3.84615384615
115,119.0,570.0,299.0,22.0,42.350413,-71.07655,21330.8285318,36488.9021897,22548.1093557,25119.0048576,13.5909090909
116,120.0,1110.0,186.0,42.0,42.309467,-71.115645,11828.9980227,12323.7783296,19715.5735724,11081.8281667,4.42857142857
117,121.0,870.0,213.0,43.0,42.31309,-71.114175,13041.2748441,12858.8632962,20224.4451642,12071.7249885,4.95348837209
118,122.0,930.0,320.0,43.0,42.320998,-71.110833,13672.6746891,11029.1926871,21491.3466295,15024.3566661,7.44186046512
119,123.0,900.0,99.0,38.0,42.315692,-71.098634,15825.207399,16778.4392425,20509.898846,13339.0551071,2.60526315789
120,124.0,780.0,201.0,32.0,42.310579,-71.107341,13703.987436,14128.8580769,19809.0660548,11495.0300609,6.28125
121,125.0,735.0,115.0,30.0,42.322913,-71.100164,15471.1503926,11839.3943355,21814.3869274,16350.5482254,3.83333333333
122,126.0,900.0,2477.0,186.0,42.339335,-71.13493,16535.9908895,9949.79651783,20580.6151668,17573.9131599,13.3172043011
123,127.0,780.0,2434.0,167.0,42.346563,-71.128374,21497.0714169,6218.13723361,21874.7801905,21009.4219625,14.5748502994
124,128.0,570.0,14095.0,201.0,42.362457,-71.08497,16313.5533244,23628.9994811,21365.9830776,23528.5215314,70.1243781095
125,129.0,660.0,2674.0,197.0,42.369832,-71.118201,23149.4173274,16024.7188589,20703.1959955,23031.2353967,13.5736040609
126,130.0,510.0,4178.0,172.0,42.376369,-71.114025,22611.1379208,18878.1803855,19896.6448653,21185.8973717,24.2906976744
127,131.0,780.0,5201.0,207.0,42.356954,-71.113687,31668.4160668,39817.4195334,22660.124058,25215.1425559,25.1256038647
128,132.0,600.0,3887.0,189.0,42.377945,-71.116865,20909.7575451,15956.8165812,19602.3324805,21203.7015548,20.5661375661
129,133.0,480.0,3533.0,208.0,42.380287,-71.125107,17896.0375879,11365.6659959,18778.9632737,22217.1535282,16.9855769231
130,134.0,210.0,1398.0,108.0,42.397828,-71.130516,12458.1905793,8500.9164859,16467.2244983,21586.374901,12.9444444444
131,135.0,480.0,3261.0,109.0,42.370803,-71.104412,29036.3606475,35763.6564841,20678.4067995,21947.4563662,29.9174311927
132,136.0,600.0,1696.0,81.0,42.366095,-71.086388,22074.9995302,33023.9286686,20826.7766098,22097.5030019,20.9382716049
133,137.0,600.0,4279.0,120.0,42.387995,-71.119084,14471.2603321,10774.0779524,18314.2164492,19614.0390362,35.6583333333
134,138.0,720.0,2608.0,206.0,42.385582,-71.113341,13112.7125309,14300.178491,18779.8323564,18678.5727947,12.6601941748
135,139.0,690.0,5377.0,212.0,42.396969,-71.123024,13191.4323932,8303.93099715,17316.9530615,19382.6909011,25.3632075472
136,140.0,600.0,1008.0,197.0,42.400146,-71.112708,13104.4729792,7475.11744075,17721.065256,15689.193815,5.11675126904
137,141.0,720.0,1216.0,201.0,42.400877,-71.116772,12658.5878494,7552.21027351,17522.8655338,16805.3900725,6.04975124378
138,142.0,330.0,883.0,101.0,42.40449,-71.123413,11390.9771418,7374.99780998,16915.9464536,18477.6365758,8.74257425743
139,143.0,600.0,757.0,100.0,42.39082,-71.10942,9981.30128561,16340.1437185,18366.1977497,16519.1370039,7.57
140,144.0,180.0,1319.0,100.0,42.402763,-71.126908,11541.8612447,7718.07001208,16635.5167423,19816.6697986,13.19
141,145.0,795.0,142.0,34.0,42.394002,-71.120406,14081.3759724,8578.02642401,17715.4255459,18985.7954368,4.17647058824
