,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,originsubway,destpop,destwork,destsubway,ridesperday
43,47.0,534.0,17931.0,437.0,42.362811,-71.056067,10400.4116086,69769.2129178,28561.5696073,84205.7744067,151284.031359,130001.171095,41.0320366133
44,48.0,422.0,20312.0,435.0,42.356755,-71.055407,5251.28980971,78795.3030056,51245.1715844,89848.6086013,152216.286323,124064.180339,46.6942528736
45,49.0,570.0,13575.0,444.0,42.351146,-71.066289,10602.9764277,37262.8575485,32607.8290465,94748.6375742,158495.331799,120203.709163,30.5743243243
46,50.0,540.0,15977.0,400.0,42.350989,-71.073644,19834.4100404,51546.0137815,28048.131403,92751.3999176,157380.151739,117252.781971,39.9425
47,51.0,634.0,3264.0,394.0,42.3348756,-71.0790969,6786.93015365,4163.18039562,4712.57710521,55980.8464361,107498.964162,68665.6707189,8.28426395939
48,52.0,660.0,17980.0,435.0,42.348717,-71.085954,5052.01765154,23177.812298,18179.9577646,79298.2398519,137138.350584,98470.2972299,41.3333333333
49,53.0,541.0,23681.0,435.0,42.350851,-71.089886,3347.41876093,10052.8220258,12475.291572,75361.7517355,130472.621145,97224.8383685,54.4390804598
50,54.0,660.0,16900.0,411.0,42.354979,-71.063348,7626.63872037,43889.7315775,61735.4822979,96616.5144155,165344.538401,130184.639146,41.1192214112
51,55.0,540.0,15719.0,410.0,42.347265,-71.088088,10592.8228678,30466.8228309,17474.3820719,75394.7327971,131806.517448,92630.4582175,38.3390243902
52,56.0,671.0,1619.0,163.0,42.3281898,-71.0833545,14947.2670369,3913.54727974,4213.96214959,39164.0017694,89303.6805534,55850.2625515,9.93251533742
53,57.0,480.0,12646.0,429.0,42.340799,-71.081572,6710.85179203,11340.3063569,14154.2721128,69865.2126895,126312.61082,83127.5873228,29.4778554779
54,58.0,660.0,17864.0,402.0,42.355596,-71.07278,7632.54380164,23411.3713789,15751.6480151,94368.4153613,164565.638479,128271.501188,44.4378109453
55,59.0,540.0,10290.0,416.0,42.351356,-71.059367,7524.95000617,42289.1452432,48396.5197951,91406.0988876,149481.428917,115752.224847,24.7355769231
56,60.0,742.5,8648.0,189.0,42.360877,-71.07131,10108.7954193,36534.5242206,16698.963282,89461.4224448,162540.003566,133929.238157,45.7566137566
57,61.0,654.75,6138.0,164.0,42.348323,-71.082674,6016.75451981,30890.4045048,24508.2007858,82595.2105141,141979.979887,101550.541203,37.4268292683
58,62.0,780.0,5199.0,366.0,42.340299,-71.109927,2265.03135698,2956.78032287,5476.29185468,42705.1298532,73123.6433391,45483.3435013,14.2049180328
59,63.0,556.25,5149.0,382.0,42.344023,-71.057054,1676.4998427,7461.73745951,8918.1394271,74432.8797421,111775.875381,83325.614846,13.4790575916
60,64.0,495.0,16471.0,367.0,42.3511,-71.0496,1761.43649342,25744.8662467,16857.8959701,76868.5553552,118354.693022,94024.5941874,44.8801089918
61,65.0,693.5,4409.0,352.0,42.3475,-71.0441,2164.43040904,29443.398304,3409.52887748,60696.9465146,84578.4132056,66472.0786312,12.5255681818
62,66.0,900.0,4426.0,237.0,42.348607,-71.13401,4354.32195596,1843.16753978,6462.34074473,41611.6099129,28108.6165099,16557.5949465,18.6751054852
63,67.0,480.0,23370.0,258.0,42.3581,-71.093198,960.147685327,2394.95938937,3771.4657348,66745.3574585,118532.489763,101114.336104,90.5813953488
64,68.0,600.0,13936.0,259.0,42.36507,-71.1031,34562.5691747,43730.3913459,16547.6999017,47537.193135,85560.9488994,86667.1173422,53.8069498069
65,69.0,840.0,6356.0,255.0,42.341598,-71.123338,18585.0323735,4497.716791,5365.36748213,38856.4715331,40961.4672694,24703.569049,24.9254901961
66,70.0,660.0,7016.0,260.0,42.372244,-71.121851,3894.0687813,3676.03565345,17758.1288108,31950.6167329,44737.7378504,50637.7366407,26.9846153846
67,71.0,660.0,2935.0,245.0,42.383405,-71.107593,4968.7612922,1989.52539642,251.065252016,19318.7670572,33958.6318677,46522.8433669,11.9795918367
68,72.0,604.0,10415.0,251.0,42.362613,-71.084105,4279.29083551,17329.052635,14319.124672,70946.9591709,131394.391506,114125.026045,41.4940239044
69,73.0,765.5,6504.0,261.0,42.373231,-71.120886,4179.38484776,4466.49933143,21301.5421663,30844.5744452,44612.3937885,51441.3892158,24.9195402299
70,74.0,780.0,15547.0,261.0,42.373268,-71.118579,2330.68455389,2114.72845746,22683.7827195,31368.2265837,47529.238105,55083.9214123,59.5670498084
71,75.0,600.0,14412.0,255.0,42.363562,-71.10042,25876.121249,32780.2391421,12831.2697982,51541.2721563,93436.3826112,91179.5754807,56.5176470588
72,76.0,600.0,11072.0,262.0,42.366426,-71.105495,29956.3643146,37878.6975783,14146.7246667,44374.6331983,78844.4554515,82293.2926157,42.2595419847
73,77.0,900.0,1835.0,252.0,42.386428,-71.096413,18174.878411,5171.00608673,4.10238933707,17305.6917364,30149.0131324,41706.7601519,7.28174603175
74,78.0,720.0,4092.0,257.0,42.379637,-71.095319,15136.4310079,6040.83303752,4.08030101228,25914.5503044,50300.5834398,61458.6724317,15.9221789883
75,79.0,600.0,5393.0,252.0,42.378551,-71.106541,4962.8129118,2004.67007748,399.515803742,25565.0852216,46920.790217,58814.8123529,21.4007936508
76,80.0,600.0,15279.0,256.0,42.362429,-71.090188,2425.28671506,8559.92931063,12125.4658937,63515.9631811,117395.320482,105364.959509,59.68359375
77,81.0,570.0,9283.0,253.0,42.352409,-71.062679,8221.04098699,41180.0591262,51924.3648516,94942.8573627,158693.121514,122677.580517,36.6916996047
78,82.0,1000.0,301.0,39.0,42.333689,-71.120526,273.435294686,66.188278195,3727.75145815,31967.0579548,41111.7622321,23966.0981453,7.71794871795
79,83.0,960.0,1055.0,218.0,42.325941,-71.065928,432.270354855,133.558472192,816.029593115,39552.7087986,58192.1788034,40839.0038302,4.83944954128
80,84.0,780.0,7870.0,252.0,42.366981,-71.076472,3243.3777143,6447.68338249,7981.60054054,69508.2664715,132849.878874,119098.467363,31.2301587302
81,85.0,757.0,236.0,35.0,42.330825,-71.057007,1113.41200211,341.413481686,6258.53049005,43928.8840636,55247.7970313,39810.276869,6.74285714286
82,86.0,930.0,3685.0,247.0,42.332799,-71.116205,76.5695735423,18.7980781333,4244.25744028,31126.4035358,49467.76048,29381.6733328,14.9190283401
83,87.0,480.0,5242.0,231.0,42.366621,-71.114214,4860.00529932,4965.57925142,3093.61151861,41410.485154,64067.0804856,67759.5104295,22.6926406926
84,88.0,600.0,8233.0,240.0,42.374035,-71.101427,2903.22638647,1907.98889232,797.48284638,33297.8687921,64087.174003,73703.7523899,34.3041666667
85,89.0,600.0,4232.0,232.0,42.379011,-71.119945,9253.7456061,12215.1387063,8891.952548,23046.9093524,35742.7263901,45756.7288222,18.2413793103
86,90.0,772.75,6790.0,234.0,42.3707,-71.07711,4107.03227253,3603.33502771,8550.60096076,58012.7995662,113437.255539,107813.207909,29.0170940171
87,91.0,600.0,10533.0,238.0,42.366277,-71.09169,3624.73302013,5589.13053038,6088.44791679,53941.8609018,103093.406824,99230.6629568,44.256302521
88,92.0,1500.0,616.0,176.0,42.311819,-71.035705,0.337392701735,0.099885396325,4.58495484352,13743.3820608,7520.74945103,7730.78092073,3.5
89,93.0,1230.0,774.0,201.0,42.320494,-71.051122,7211.24493742,2135.14788434,8561.98045717,29667.2738174,24328.008708,19347.2202929,3.85074626866
90,94.0,840.0,4927.0,218.0,42.375603,-71.064608,11626.0417028,6062.18764218,1969.25957549,50328.6295693,98688.216923,99944.468068,22.6009174312
91,95.0,570.0,5518.0,231.0,42.372969,-71.094445,2173.73740743,1526.0142243,381.771780805,37888.9930923,75048.963706,81776.0599014,23.8874458874
92,96.0,600.0,5920.0,231.0,42.373379,-71.111075,848.014335852,865.280910458,6292.35457444,32541.066558,56225.3845886,65549.2436618,25.6277056277
93,97.0,923.0,123.0,14.0,42.369182,-71.117152,2449.40295554,926.402501942,9202.12328872,37381.2926415,55881.1633207,61069.152904,8.78571428571
94,98.0,780.0,8428.0,229.0,42.371848,-71.060292,2777.39865246,1934.70429028,1203.32353413,62276.6682155,120139.926783,114632.248382,36.8034934498
95,99.0,600.0,9589.0,213.0,42.35892,-71.057629,7719.81171394,80499.8341011,58694.7003755,91303.4976522,159191.562663,131384.273563,45.0187793427
96,100.0,915.0,881.0,196.0,42.328654,-71.084198,13581.780643,3552.38431936,4838.13207011,39653.6093507,91155.2207787,56637.8330344,4.49489795918
97,101.0,660.0,355.0,45.0,42.345733,-71.100694,29181.1353252,58363.6867962,9970.09506919,58242.7818031,102559.274881,70716.0846366,7.88888888889
98,102.0,630.0,5837.0,185.0,42.336437,-71.073089,21698.6278161,13291.6581454,3609.00092615,61314.5705247,106651.095844,71144.6886559,31.5513513514
99,103.0,660.0,11052.0,188.0,42.348762,-71.082383,6182.65303558,30740.8415894,24706.2111045,83341.6363057,143066.996394,102918.505744,58.7872340426
100,104.0,765.0,1116.0,120.0,42.330716,-71.057044,1059.67105323,324.938575151,6331.92448526,43767.8168893,54976.8567449,39617.9059882,9.3
101,105.0,870.0,471.0,162.0,42.325333,-71.075354,4216.76352419,1110.90370869,349.067265381,37481.6676761,72208.7121348,48063.0069597,2.90740740741
102,106.0,660.0,487.0,40.0,42.335693,-71.045859,31174.7794236,9536.01477405,169.691584575,42083.5318708,47512.264117,35116.0209742,12.175
103,107.0,720.0,237.0,42.0,42.335741,-71.03877,11632.6446258,3571.79945498,6.51362908087,32788.9222867,32875.0045067,24317.3241683,5.64285714286
104,108.0,960.0,53.0,35.0,42.320561,-71.06198,14393.3462785,4261.57739461,1451.08604703,34259.5037482,39734.6744828,29895.5105356,1.51428571429
105,109.0,840.0,39.0,24.0,42.317225,-71.065421,10789.1900106,3193.62101656,161.406558789,32888.8351465,39676.7283898,30281.5521473,1.625
106,110.0,1080.0,1037.0,186.0,42.356975,-71.145442,1024.0968354,410.809660217,117.529324059,35075.5886341,18860.3388083,11197.3887717,5.5752688172
107,111.0,660.0,10690.0,215.0,42.366222,-71.059914,7639.17776921,21721.0024346,12093.2872804,79249.5263962,147652.470119,130737.530452,49.7209302326
108,112.0,480.0,9899.0,210.0,42.355402,-71.058087,5667.28176482,60493.6738451,67143.9051924,93071.794916,157281.819291,125922.342038,47.1380952381
109,113.0,660.0,15506.0,211.0,42.36069,-71.070884,10696.1608492,39031.5348347,17414.7090573,90120.8796421,163440.468028,134399.004037,73.4881516588
110,114.0,600.0,15239.0,182.0,42.365942,-71.060515,7803.09137415,23031.4060274,13249.3664149,80260.0477603,149409.157043,131727.948668,83.7307692308
111,115.0,780.0,3249.0,176.0,42.378338,-71.048927,78.5984203367,40.94863187,60.5187020995,36836.753651,72503.9055701,76776.1430749,18.4602272727
112,116.0,540.0,1060.0,43.0,42.356052,-71.069849,8263.86035718,31158.8840476,23375.1030614,95971.9705855,167523.912922,131526.388629,24.6511627907
113,117.0,480.0,655.0,42.0,42.358508,-71.052984,5658.18371528,86630.5673639,30983.153587,85501.8394404,145925.017361,121441.324259,15.5952380952
114,118.0,870.0,150.0,39.0,42.377022,-71.056605,3496.63057895,1817.16290413,54.6533335858,44974.4136837,87976.9526905,91302.0352497,3.84615384615
115,119.0,570.0,299.0,22.0,42.350413,-71.07655,17611.9166104,49056.816345,31310.0116454,90247.3695622,153500.663363,113208.110734,13.5909090909
116,120.0,1110.0,186.0,42.0,42.309467,-71.115645,25301.8414662,9876.016079,1386.57877071,16874.5222924,23131.234925,31575.3478839,4.42857142857
117,121.0,870.0,213.0,43.0,42.31309,-71.114175,21645.576308,8448.87353247,1149.68461164,16941.1584689,26689.4835501,32761.4115518,4.95348837209
118,122.0,930.0,320.0,43.0,42.320998,-71.110833,348.011452268,135.531040555,1447.93711144,20032.8922339,42314.8779851,34866.7355713,7.44186046512
119,123.0,900.0,99.0,38.0,42.315692,-71.098634,308.350159307,116.537050068,2693.26627611,18131.6677385,46761.8497616,41091.8705636,2.60526315789
120,124.0,780.0,201.0,32.0,42.310579,-71.107341,23408.4045613,9136.95103378,3895.7470536,15629.4151769,29272.5981273,36056.2886369,6.28125
121,125.0,735.0,115.0,30.0,42.322913,-71.100164,601.81127216,141.720232469,7919.38328705,23052.1046206,63943.2529222,44115.5697199,3.83333333333
122,126.0,900.0,2477.0,186.0,42.339335,-71.13493,212.927234444,51.9649501698,3147.34379951,37183.4450192,23724.2218727,10992.3827412,13.3172043011
123,127.0,780.0,2434.0,167.0,42.346563,-71.128374,10384.8575548,2730.19360989,4641.00036386,41776.5021863,34922.2235071,22018.3123499,14.5748502994
124,128.0,570.0,14095.0,201.0,42.362457,-71.08497,4123.83855319,16994.3271696,15126.9121537,70130.0127036,129724.516636,112922.421226,70.1243781095
125,129.0,660.0,2674.0,197.0,42.369832,-71.118201,2384.81925798,740.590425855,12059.7526723,36253.8300291,53370.989802,58752.6816846,13.5736040609
126,130.0,510.0,4178.0,172.0,42.376369,-71.114025,605.440171281,650.85115423,10818.2376375,27757.4741329,46492.5739777,56792.9867193,24.2906976744
127,131.0,780.0,5201.0,207.0,42.356954,-71.113687,813.641568096,998.173595686,1124.48124707,49718.2753246,70942.9995157,63854.5641117,25.1256038647
128,132.0,600.0,3887.0,189.0,42.377945,-71.116865,2585.21659565,3353.51306254,11455.713154,25099.9564773,40547.3512012,50880.1084687,20.5661375661
129,133.0,480.0,3533.0,208.0,42.380287,-71.125107,28919.3610718,38249.7361148,2711.68569136,20042.0325605,29052.2781323,38251.7253545,16.9855769231
130,134.0,210.0,1398.0,108.0,42.397828,-71.130516,11504.447666,4202.67732553,3389.06565942,6121.29768175,7041.53259895,18088.7678488,12.9444444444
131,135.0,480.0,3261.0,109.0,42.370803,-71.104412,7553.34800486,9442.1972133,4970.57952523,37840.5650462,70205.5729643,77854.3222868,29.9174311927
132,136.0,600.0,1696.0,81.0,42.366095,-71.086388,6882.78568917,12427.0158198,9881.6889775,60083.9836857,114760.092188,106283.825024,20.9382716049
133,137.0,600.0,4279.0,120.0,42.387995,-71.119084,1452.70702935,935.54270679,9710.04110766,13203.2454727,20535.8139296,32805.5687529,35.6583333333
134,138.0,720.0,2608.0,206.0,42.385582,-71.113341,309.616536413,199.498013979,3293.62296538,16357.1881654,27011.1469701,39505.6369222,12.6601941748
135,139.0,690.0,5377.0,212.0,42.396969,-71.123024,23667.3948365,5998.96359608,12616.027718,7348.1010129,9081.79352189,21152.153032,25.3632075472
136,140.0,600.0,1008.0,197.0,42.400146,-71.112708,4435.78412991,819.868242392,1111.55157825,8092.25857609,8273.26657126,19597.8079055,5.11675126904
137,141.0,720.0,1216.0,201.0,42.400877,-71.116772,13689.1405761,2548.74590453,2983.69656587,7410.79251812,7317.47701851,18986.3420339,6.04975124378
138,142.0,330.0,883.0,101.0,42.40449,-71.123413,8909.56600322,1662.55544832,827.180710499,6182.65055255,4876.79387051,16103.5303226,8.74257425743
139,143.0,600.0,757.0,100.0,42.39082,-71.10942,246.219747142,73.5828623568,1087.83889456,12413.9351768,18875.1378932,31036.1541337,7.57
140,144.0,180.0,1319.0,100.0,42.402763,-71.126908,9592.93570231,1922.25512692,1437.39070999,5810.10720976,5131.27621458,16282.3069915,13.19
141,145.0,795.0,142.0,34.0,42.394002,-71.120406,11755.4829949,3458.94893088,12872.1638454,8947.67842409,12348.1950086,24689.4441393,4.17647058824
