,stationid,duration,nrides,ndays,lat,lng,popdensity,workdensity,ridesperday
101,105.0,840.0,643.0,228.0,42.325333,-71.075354,14688.3194163,18251.8733657,2.8201754386
102,106.0,690.0,773.0,56.0,42.335693,-71.045859,15903.311497,10762.6918788,13.8035714286
103,107.0,825.0,475.0,60.0,42.335741,-71.03877,15081.4158578,9407.4942182,7.91666666667
104,108.0,1020.0,92.0,48.0,42.320561,-71.06198,13133.4840383,16680.7172108,1.91666666667
105,109.0,840.0,49.0,32.0,42.317225,-71.065421,12550.4184716,16509.7584401,1.53125
106,110.0,1080.0,1355.0,251.0,42.356975,-71.145442,15262.8916418,9189.71089795,5.3984063745
107,111.0,660.0,12491.0,298.0,42.366222,-71.059914,17928.1582376,10506.4465441,41.9161073826
108,112.0,510.0,11188.0,292.0,42.355402,-71.058087,17840.4532406,10780.692947,38.3150684932
109,113.0,720.0,22630.0,293.0,42.36069,-71.070884,19702.3126463,18790.5085019,77.2354948805
110,114.0,660.0,17363.0,256.0,42.365942,-71.060515,17989.1456315,10615.8407393,67.82421875
111,115.0,810.0,4243.0,247.0,42.378338,-71.048927,15381.8138248,10431.6015875,17.1781376518
112,116.0,600.0,1571.0,59.0,42.356052,-71.069849,19246.3386208,19060.67554,26.6271186441
113,117.0,570.0,818.0,58.0,42.358508,-71.052984,17459.3882463,9204.9239592,14.1034482759
114,118.0,870.0,234.0,53.0,42.377022,-71.056605,16046.7794778,11303.0521621,4.41509433962
115,119.0,570.0,416.0,30.0,42.350413,-71.07655,19621.569181,22734.0981761,13.8666666667
116,120.0,1200.0,306.0,58.0,42.309467,-71.115645,10416.8068748,9448.24824344,5.27586206897
117,121.0,900.0,326.0,59.0,42.31309,-71.114175,11301.110816,9521.99131049,5.52542372881
118,122.0,915.0,488.0,60.0,42.320998,-71.110833,13508.061355,10044.4495066,8.13333333333
119,123.0,960.0,161.0,54.0,42.315692,-71.098634,12743.6543541,12354.381488,2.98148148148
120,124.0,870.0,310.0,44.0,42.310579,-71.107341,11478.1244898,10539.4042949,7.04545454545
121,125.0,780.0,202.0,42.0,42.322913,-71.100164,14266.7381741,12796.7163807,4.80952380952
122,126.0,870.0,3393.0,260.0,42.339335,-71.13493,14340.9489652,8468.795853,13.05
123,127.0,810.0,3173.0,233.0,42.346563,-71.128374,17543.3892114,9440.07242503,13.6180257511
124,128.0,600.0,17514.0,280.0,42.362457,-71.08497,22450.5154365,23536.5264281,62.55
125,129.0,840.0,4783.0,274.0,42.369832,-71.118201,18679.6421942,13633.6635605,17.4562043796
126,130.0,540.0,5304.0,241.0,42.376369,-71.114025,17296.3236876,15089.6496488,22.0082987552
127,131.0,780.0,7951.0,290.0,42.356954,-71.113687,20960.2337334,14478.0705774,27.4172413793
128,132.0,600.0,4785.0,266.0,42.377945,-71.116865,16284.9060877,13154.8897433,17.9887218045
129,133.0,495.0,4808.0,290.0,42.380287,-71.125107,15278.3628734,10113.5485304,16.5793103448
130,134.0,300.0,1955.0,151.0,42.397828,-71.130516,11434.0756139,8949.76107929,12.9470198675
131,135.0,480.0,4198.0,152.0,42.370803,-71.104412,20072.1072375,22248.5528802,27.6184210526
132,136.0,600.0,2021.0,114.0,42.366095,-71.086388,21700.1121,25038.3893152,17.7280701754
133,137.0,600.0,5815.0,167.0,42.387995,-71.119084,13493.0170329,10090.5176487,34.8203592814
134,138.0,720.0,3694.0,290.0,42.385582,-71.113341,14310.5411248,12361.0776576,12.7379310345
135,139.0,795.0,8003.0,296.0,42.396969,-71.123024,11473.532545,9286.70580608,27.0371621622
136,140.0,720.0,1539.0,280.0,42.400146,-71.112708,10594.8541554,8945.99064165,5.49642857143
137,141.0,780.0,1775.0,282.0,42.400877,-71.116772,10549.8365486,8632.47706744,6.29432624113
138,142.0,360.0,1144.0,141.0,42.40449,-71.123413,10148.0732016,7954.01911352,8.1134751773
139,143.0,600.0,1088.0,140.0,42.39082,-71.10942,12714.5775234,12058.3188486,7.77142857143
140,144.0,180.0,1764.0,140.0,42.402763,-71.126908,10461.2425811,8189.32954724,12.6
141,145.0,795.0,221.0,48.0,42.394002,-71.120406,12054.301916,9786.81178463,4.60416666667
